Block Id,BlockType,TextType,Confidence,Top,Left,Text
[97e7de62-7c68-4c6a-ab26-156f1693d266],WORD,HANDWRITING,80.404,0.02690,0.04639,[In]
[a2dbd4d3-c196-44b2-99f2-02fbbbb188ef],WORD,HANDWRITING,82.613,0.01648,0.48522,[#]
[dffdd7eb-91e9-4a71-98a0-abc703215bd6],WORD,PRINTED,99.906,0.03976,0.24964,[REGISTER]
[14897d80-ca61-4e4a-a552-5e7f77828b77],WORD,PRINTED,99.910,0.03860,0.40564,[OF]
[a4600a0d-f3d6-419c-a92a-c000ca7e026a],WORD,PRINTED,99.832,0.03844,0.45988,[RAINFALL]
[6fa6425f-4ee0-4c4e-9c6b-e234787d69b6],WORD,PRINTED,99.927,0.03843,0.61707,[IN]
[1efcb214-b02f-4f9a-b365-0cfa10c2b2d5],WORD,HANDWRITING,76.328,0.03082,0.66684,[1888]
[b50a241d-d981-4295-9b2b-9877c937fce2],WORD,PRINTED,99.389,0.07116,0.06226,[Kept]
[caa733c4-bc84-41ac-b3fa-68a47a4baa0c],WORD,HANDWRITING,93.481,0.07121,0.11589,[at]
[e7d233fd-0ef6-42f2-965a-693f2ec031f3],WORD,HANDWRITING,31.645,0.05894,0.16489,[Whatanda]
[57fbaf2b-c4b0-4682-a0be-87fd67856018],WORD,PRINTED,99.966,0.06851,0.39547,[in]
[fd902a4d-4c71-47b9-9c56-1e8774eb4d16],WORD,PRINTED,99.956,0.06837,0.42418,[the]
[b70527fd-5353-49d8-8ce7-450d6a94f92a],WORD,PRINTED,99.115,0.06832,0.46212,[County]
[a482b49c-6914-4cb9-bcb6-423e350a583d],WORD,PRINTED,98.674,0.06837,0.53313,[of]
[d22676a3-63bd-42d9-bb26-afb23d2950aa],WORD,HANDWRITING,41.521,0.05523,0.59230,[And]
[db38e691-4315-46ea-89b2-39b0e092a863],WORD,HANDWRITING,92.207,0.06697,0.71135,[by]
[4628ba64-cfe8-4198-bef8-ff63471d2961],WORD,HANDWRITING,30.860,0.05995,0.88205,[Myr]
[55c3f323-9c4f-4c56-9367-134276c48605],WORD,PRINTED,99.240,0.09382,0.06116,[Latitude]
[f6d2fb75-f8c2-420c-ac96-092f58cda698],WORD,PRINTED,99.963,0.11007,0.30632,[Time]
[8febc0a8-453b-4270-8e61-3ad0871006ad],WORD,PRINTED,99.911,0.10971,0.34332,[of]
[586b11ea-a1e3-44f4-9539-7da4fc8bc527],WORD,PRINTED,99.851,0.10925,0.36044,[Observation]
[50907392-85b2-4256-a89f-3542a099abdd],WORD,HANDWRITING,65.487,0.10135,0.45426,[GAn]
[8767eb6c-a153-4ae3-8d7d-4b6eb47a4045],WORD,PRINTED,6.220,0.08718,0.55951,[Creace]
[856c3d58-46b5-4090-92de-1b71a48757e1],WORD,PRINTED,99.838,0.08956,0.59692,[Diameter]
[31a16bc6-90d4-4829-9eab-44d462cca1f4],WORD,PRINTED,99.976,0.10827,0.59738,[Height]
[689934a6-76a1-48c1-8b43-e9a22e6f91bb],WORD,PRINTED,99.902,0.10843,0.64565,[of]
[7ecfd1e0-9b45-491b-8716-d97324a7ef9f],WORD,PRINTED,99.883,0.10901,0.66489,[top]
[6a5fadc8-60a6-4b72-88f2-8c0f61e88a35],WORD,PRINTED,99.971,0.10824,0.68996,[above]
[06230274-cc1f-45fe-80d4-ff6b897a09bc],WORD,PRINTED,99.935,0.10748,0.73044,[Ground]
[b8cf50f9-29a5-486e-bec9-b9570734a5d4],WORD,HANDWRITING,27.073,0.10143,0.80253,[1 mis]
[38194acc-4743-430e-bb13-5b6779d9bf8c],WORD,PRINTED,99.268,0.13046,0.06105,[Longitude]
[46519621-6af6-415e-b7e5-6122b62f6472],WORD,PRINTED,7.686,0.12022,0.55886,[BATTL]
[d262caa2-24df-4c3e-ac92-b42800cbd2a8],WORD,PRINTED,91.372,0.13256,0.62814,"[""]"
