Block Id,BlockType,TextType,Confidence,Top,Left,Polygon Points,Text
[f50be248-8606-4772-92d0-daa0250395b0],WORD,PRINTED,64.327,0.00000,0.33247,4,[ABBOTSKERSWELL]
[1f275842-c5a6-4908-8521-9103b9973dc3],WORD,PRINTED,70.015,0.02187,0.66553,4,[90]
[c7bba5e8-54ea-4427-80ab-23524e0721a0],WORD,PRINTED,57.259,0.04479,0.21173,4,[REGI]
[1438fa05-6b72-4adb-92cf-b18ed55dda5f],WORD,PRINTED,98.492,0.04496,0.30997,4,[COURT]
[f2eac697-6821-4a52-887a-1142dcdbb0f3],WORD,PRINTED,99.900,0.03181,0.44914,4,[GRANGE]
[a38dfe00-3c4b-4a4b-9de5-551f88be3596],WORD,PRINTED,98.705,0.04664,0.70659,4,[by]
[6190dea4-c382-4fe2-8234-7995a42068f3],WORD,PRINTED,92.313,0.05908,0.15701,4,[Court]
[0a0ff17c-5067-4e94-a02c-a9e3c7f053ee],WORD,PRINTED,92.034,0.06220,0.67010,4,[5m]
[f077a41f-c9ec-45b5-bfa4-a845dc3bf275],WORD,PRINTED,95.501,0.07371,0.05002,4,[Kept]
[5f7065bc-378f-45c9-9c7b-4c2e6c9b584e],WORD,PRINTED,98.539,0.07440,0.09784,4,[at]
[a75f8c49-8176-482a-83c8-42ab30a11802],WORD,PRINTED,87.467,0.09643,0.04729,4,[Latitude]
[96a18394-2a19-4392-bd39-b7b182319e2a],WORD,PRINTED,99.167,0.07200,0.31182,4,[DEVONSHIRE]
[f224c482-e9ff-4239-b983-c046d78eb7a6],WORD,PRINTED,88.659,0.08505,0.68146,4,[above]
[77e0ea28-36bb-41ba-b407-0e388ae40ed0],WORD,PRINTED,99.004,0.08225,0.72394,4,[Ground]
[df5b20fc-47cd-4076-8f43-c51e6ab0255b],WORD,PRINTED,51.134,0.10061,0.77919,4,[Ses]
[1e84af11-ca52-45fb-9083-62734f5a40e1],WORD,PRINTED,99.253,0.09951,0.81008,4,[Level]
[81a31576-0b80-4bb9-8340-d89a5c24c89a],WORD,PRINTED,83.173,0.10979,0.68220,4,[-]
[4221a72b-ab79-4d51-a804-90793269595f],WORD,PRINTED,49.765,0.10719,0.74419,4,"[""]"
[dd768f55-1740-4188-a240-83a29e8e766a],WORD,PRINTED,63.894,0.13060,0.04848,4,[Longitude]
[8c14eeff-ee02-4f4c-9c9d-dc241c214b01],WORD,PRINTED,84.813,0.12338,0.66964,4,[expecting]
[74cb702d-f9b0-4df5-bf5d-a7ad2790790a],WORD,PRINTED,95.132,0.12117,0.73131,4,[the]
[9b4eccbe-b70f-4f18-8114-993788c74d15],WORD,PRINTED,30.479,0.11964,0.75507,4,[Systronetic]
[bdfc3eb4-ccf2-46c8-bf18-434f4fb61cdf],WORD,PRINTED,71.566,0.11708,0.82780,4,[Observation]
[f49a1786-9c29-42ac-86d6-d8d08195a4bd],WORD,PRINTED,98.323,0.11729,0.90459,4,[and]
[e91c7ea2-4616-4863-be2e-5ac7c590ef2f],WORD,PRINTED,99.754,0.12728,0.40949,4,[1890]
[240256cb-a3f1-4aa0-8652-157320d0b6da],WORD,PRINTED,16.387,0.13350,0.67269,4,"[5%,62,]"
[03da9359-9111-4e01-808f-154fdca10e7f],WORD,PRINTED,97.585,0.13138,0.72088,4,[Camden]
[f10dfb80-2e34-4249-a22d-4cc7e859aff2],WORD,PRINTED,76.641,0.12972,0.77722,4,"[Square,]"
[9cc1f385-f003-4bf4-969c-cd1c3fcaecba],WORD,PRINTED,66.198,0.12649,0.83162,4,"[London,]"
[af5775f7-fcdd-4fc8-b0d4-b519709d03ca],WORD,PRINTED,98.481,0.12557,0.88999,4,[N.W.]
[ea84f6cb-5541-474f-8e8f-c4a656f1fed6],WORD,PRINTED,50.776,0.14958,0.08515,4,[Note]
[06d7f070-adba-4448-95a7-695262ae1e5f],WORD,PRINTED,96.584,0.14835,0.13848,4,[Full]
[03f6ebc1-aae8-4029-a2ea-02e2aa6cb8f8],WORD,PRINTED,62.362,0.14603,0.16877,4,[instructions]
[5d45d75e-4da5-40cd-809a-62ad406c4dfe],WORD,PRINTED,53.396,0.14576,0.24834,4,[resp]
[f9f24744-96b9-4d1b-9a81-d0505f8f486a],WORD,PRINTED,48.346,0.14402,0.64477,4,[-]
[156bdc88-789b-4667-94a2-a2f225bd2bf4],WORD,PRINTED,65.284,0.16090,0.04642,4,[Record]
[e7220e5d-9d5b-4fe8-b876-57ee623bf323],WORD,PRINTED,99.198,0.16092,0.09186,4,[of]
[69b858bb-2c3a-44b8-ba0e-23b3693e75ec],WORD,PRINTED,99.694,0.16035,0.10908,4,[the]
[56036991-6562-4bfa-8deb-8a4968cdd59b],WORD,PRINTED,83.692,0.15825,0.13242,4,[Rainfall]
[83e8f841-7770-4f19-a11f-b9cb9f0784a3],WORD,PRINTED,95.266,0.15722,0.18719,4,[of]
[43538fc6-1289-465a-9512-f3e94b884bec],WORD,PRINTED,73.619,0.15658,0.20437,4,[the]
[0a30976c-a4b0-4b34-8193-429793e123d6],WORD,PRINTED,68.545,0.15505,0.22692,4,[British]
[51d2b43f-b6d9-4a68-b8db-3fe1dba6adfa],WORD,PRINTED,87.406,0.15761,0.71617,4,[Oct.]
[b897602f-26e3-4565-863e-0867d049a4ed],WORD,PRINTED,70.125,0.15414,0.78493,4,[Nov.]
[51319a16-60c4-4757-ac9a-d94f100a3d50],WORD,PRINTED,89.158,0.15094,0.85400,4,[Dec.]
[bcc0c500-5d99-4761-9a09-2bb2f5b7bc97],WORD,PRINTED,65.149,0.14911,0.91603,4,[Date]
[475e8773-ca33-48ec-ad0e-657f098d4947],WORD,PRINTED,92.426,0.17217,0.37857,4,[May.]
[8cf21d64-f436-4878-bc47-47ff5a8efddc],WORD,PRINTED,39.626,0.16912,0.44545,4,[June.]
[4c975614-0641-488a-a1e6-0ef622003492],WORD,PRINTED,92.016,0.16638,0.51125,4,[July.]
[26d2af42-e2cd-43d4-be80-f9a5604b8a74],WORD,PRINTED,79.120,0.16411,0.58438,4,[Aug.]
[849e631b-e65a-4b19-bfb9-6094c5f69ad1],WORD,PRINTED,96.920,0.16130,0.64734,4,[Sept.]
[e9c7f89b-3100-4f00-80d6-145f18ce9a23],WORD,PRINTED,63.565,0.18028,0.18700,4,[Feb.]
[977ad377-b06c-4cc2-b0ee-f0cc5f896f38],WORD,PRINTED,62.454,0.17782,0.24063,4,[March]
[7dca1bbb-af23-4b2b-9e76-d6ae6451d0d0],WORD,PRINTED,67.083,0.17526,0.31170,4,[April.]
[f233ceb7-ff52-4159-98de-adc0ad1ac07a],WORD,PRINTED,94.979,0.18563,0.04454,4,[Date]
[ec6a6b60-7837-4112-9eb6-8394554e9beb],WORD,PRINTED,82.129,0.18360,0.11485,4,[Jan.]
[18d4d4fd-4176-4108-afd4-a4353b7efb9d],WORD,PRINTED,69.702,0.18585,0.51978,4,[=]
[0c17eb5d-40bb-4d49-b857-aab80a35053f],WORD,HANDWRITING,50.456,0.19697,0.25647,4,[is]
[9da3d506-e03b-4eaf-aa8d-6e1abd669d5d],WORD,HANDWRITING,99.598,0.19338,0.44413,4,[0.00]
[960cc7fc-cb12-43a2-9004-4580b81310d9],WORD,PRINTED,74.700,0.19496,0.51058,4,[0.29]
[ef20c76e-af6a-4087-b0c8-82f86456584f],WORD,PRINTED,64.824,0.19131,0.57612,4,[0.23]
[128c4ea8-5885-4194-b379-918b23c195e4],WORD,PRINTED,99.757,0.18740,0.64793,4,[0.00]
[06ddd69a-a15c-49b2-98d3-98cd43866510],WORD,HANDWRITING,53.805,0.17919,0.71521,4,[in]
[310de991-7a45-4087-9391-5cdc0e6c23bd],WORD,PRINTED,85.569,0.17834,0.78001,4,[0.20]
[a3dee5bd-ffaf-4971-992c-002d93b29c07],WORD,HANDWRITING,99.161,0.17990,0.84655,4,[0.00]
[d5c3c329-b3ed-470c-9c69-60a3065dba2f],WORD,PRINTED,97.973,0.18124,0.92814,4,[1]
[52428388-7c6a-4f0c-8daf-fe03d6dbbfa7],WORD,PRINTED,70.862,0.20219,0.12375,4,[-]
