Block Id,BlockType,TextType,Confidence,Top,Left,Text
[e592600c-7428-410e-b5c8-aa4cfa198e8e],WORD,HANDWRITING,88.495,0.00776,0.46133,[S.a.]
[457f931f-246a-4db0-af34-5ddae8749183],WORD,HANDWRITING,84.048,0.00564,0.55026,[W]
[73bc02f0-6022-4e77-915b-e98f6fe909e9],WORD,HANDWRITING,71.881,0.00993,0.60223,[Corr]
[c2886950-f23a-4a8d-b290-32a9fbc06fd1],WORD,HANDWRITING,91.857,0.01419,0.65898,[by]
[03196c14-d787-4c37-be94-e85d938676f6],WORD,HANDWRITING,44.870,0.01583,0.69696,[Our]
[93a0b412-78f6-4f24-97e0-a423f61dc5ff],WORD,PRINTED,99.835,0.04157,0.23739,[REGISTER]
[213489bb-977c-4fe6-b280-d84d2484a508],WORD,PRINTED,99.962,0.04075,0.40752,[OF]
[7e8583bd-d6dc-422a-86d9-d860f5001f0b],WORD,PRINTED,99.739,0.04024,0.46838,[RAINFALL]
[d4543de5-866e-4d95-a3eb-69bab97d19a8],WORD,PRINTED,99.935,0.04004,0.64121,[IN]
[85b39b7d-0ff2-42f9-a91b-e5e95264499e],WORD,HANDWRITING,95.280,0.03314,0.69975,[1878]
[cf19a8fb-326b-4dbd-993c-a1da685ac90b],WORD,PRINTED,98.715,0.07153,0.02490,[Kept]
[d284e111-dbe6-4687-aff4-7a8e27b75221],WORD,PRINTED,98.256,0.07379,0.07613,[at]
[b325e4ea-993d-4266-8161-99c4bc65a904],WORD,HANDWRITING,94.557,0.06329,0.09143,[Bo]
[e1aa108f-6d6f-42b8-8e2c-b68ad254198e],WORD,HANDWRITING,36.783,0.06526,0.14621,[dorgan]
[fed8e866-bfee-44ac-9e1b-9f9216b1ace2],WORD,PRINTED,99.898,0.07203,0.30856,[in]
[979b24f1-73ca-4c3c-8355-54bb25eab73a],WORD,PRINTED,99.961,0.07187,0.33638,[the]
[4b5bcf9d-66ef-47eb-b7a1-a526c072c35c],WORD,PRINTED,98.483,0.07124,0.37253,[County]
[4f17f1ad-0e36-44d6-b35a-c9d8eb5d2e35],WORD,PRINTED,99.924,0.07137,0.44223,[of]
[4de2553e-4758-475e-968d-520aa2ddce8a],WORD,HANDWRITING,26.085,0.06241,0.46251,[anglescy]
[f642ae06-2c90-440a-9fd9-78b1ad0b5673],WORD,HANDWRITING,99.922,0.07113,0.63782,[by]
[533a502e-d596-4e31-81a9-ff463e3c387f],WORD,HANDWRITING,28.458,0.06099,0.66040,[So.]
[976f63a6-41ef-4847-9eaa-a187388373b5],WORD,HANDWRITING,36.135,0.05172,0.73903,[Ellam]
[7a8e7434-02aa-4841-91f7-8bfea8fdb338],WORD,PRINTED,99.729,0.09434,0.02262,[Latitude]
[1bf4c064-3817-44bf-90bc-933ee3101543],WORD,PRINTED,99.943,0.10972,0.28979,[Time]
[c9e60ee2-3cec-40a2-bd0f-d2bc2c07c71b],WORD,PRINTED,99.444,0.10967,0.32923,[of]
[a5ad4488-3d9f-419a-a000-742d9916a0af],WORD,PRINTED,99.803,0.10927,0.34784,[Observation]
[9d345a21-3761-4ee0-8c9f-daacc660cda6],WORD,HANDWRITING,90.166,0.09622,0.43869,[8.]
[516ce6e8-3a76-4449-8e47-836122d95f38],WORD,HANDWRITING,67.062,0.09827,0.46375,[am]
[b6552ff9-4d77-4d45-9423-df1efcdc764a],WORD,PRINTED,99.952,0.10374,0.57364,[Height]
[04f7ec66-9e44-42c9-ad8d-e482653977a5],WORD,PRINTED,99.927,0.10410,0.62602,[of]
[3bf2592d-c2ec-4c3b-87ff-3bb5d7bfd899],WORD,PRINTED,99.816,0.10388,0.64725,[Receiver]
[58dffd75-ee1f-41a5-8865-980a0bbb077c],WORD,PRINTED,99.946,0.09481,0.72672,[Above]
[87def6d4-8669-44f3-b485-d3e2138935d2],WORD,PRINTED,99.788,0.09433,0.77496,[Ground]
[8f22b870-7486-4ff5-ab39-c529fc218d4a],WORD,HANDWRITING,30.289,0.08103,0.83911,[4 fiet]
[c42fdb36-624d-495d-9de6-08484e3df876],WORD,PRINTED,99.940,0.11422,0.59043,[of]
[90d6ebb0-facf-47bb-978f-82a26ef19a72],WORD,PRINTED,99.969,0.11415,0.61230,[Rain]
[6753ed1b-eaed-49d4-b95d-96235552d9f6],WORD,PRINTED,95.703,0.11413,0.64921,[Gauge.]
[8168dbbe-91e3-491e-8f38-1eaa97ab7e70],WORD,PRINTED,99.590,0.12518,0.02123,[Longitude]
[d163b366-da99-49d1-9b38-63c69f65a826],WORD,PRINTED,99.956,0.12508,0.72612,[Above]
[e45c23cf-d1b3-476a-b730-0cf8b1b7415b],WORD,PRINTED,99.684,0.12534,0.77402,[Sea]
[ea4ff0f0-9fa5-4326-9ec6-ebb501385bc8],WORD,PRINTED,99.927,0.12504,0.80344,[Level]
[b7d079e3-8f3e-4d19-87a2-532fb083f749],WORD,PRINTED,99.372,0.14213,0.08856,[CONDENSED]
[f00b738f-a380-4b12-9a90-d3cfe4bf600f],WORD,PRINTED,55.485,0.14166,0.16218,[INSTRUCTIONS.-Fix]
[f50cd53f-5133-4228-a1ea-7dc75cf972b9],WORD,PRINTED,99.376,0.14145,0.28612,[the]
[0fe5f1fc-a6f8-4b57-ac2a-db389e95b1bc],WORD,PRINTED,99.409,0.14274,0.30957,[gauge]
[7f8091e1-2591-4610-a78b-25e65dfad075],WORD,PRINTED,99.881,0.14102,0.34641,"[firmly,]"
[4dd7be1d-4fff-4e7e-a13a-78a235c56e30],WORD,PRINTED,99.916,0.14084,0.39056,[with]
[4b91ba81-4841-4058-82ed-ab0fad85230e],WORD,PRINTED,99.965,0.14095,0.42166,[its]
[70024c47-8899-4d6a-9c41-92400132e128],WORD,PRINTED,99.635,0.14082,0.44064,[orifice]
[5179742d-7c16-4dc5-9d9f-78c6bec04801],WORD,PRINTED,99.919,0.14060,0.47954,[level]
[b1a9b1c7-c7b7-4ee2-a342-cdb277d7094a],WORD,PRINTED,99.963,0.14084,0.51070,[and]
[7941a5ab-9175-4dbb-ac14-a2aaff1419d1],WORD,PRINTED,97.080,0.14122,0.53690,[1]
[fe70dba9-3e43-4d11-9bba-2749dc718527],WORD,PRINTED,98.122,0.14078,0.54790,[ft.]
[dd0bde99-a9bc-4c43-833a-6d070d8427d8],WORD,PRINTED,99.928,0.14060,0.56557,[above]
[ab5a0fdf-11b0-4673-990f-789a1bdd2b64],WORD,PRINTED,99.949,0.14062,0.60329,[the]
[e68df6f0-bdb4-491e-99b2-02f9cc0affb1],WORD,PRINTED,97.711,0.14076,0.62612,"[ground,]"
[db984839-3b53-43da-a4e4-cd3d1e556b20],WORD,PRINTED,99.673,0.14091,0.67577,[quite]
[bc55d930-d4b8-436c-a337-ed81ebd90797],WORD,PRINTED,99.787,0.14099,0.70998,[clear]
[a07e6524-aec0-4e6b-9e7a-41445085cf12],WORD,PRINTED,99.817,0.14101,0.74194,[of]
[b5534da8-cbbe-43ba-8dc0-507048ea0027],WORD,PRINTED,99.857,0.14167,0.75700,[trees]
