Block Id,BlockType,TextType,Confidence,Top,Left,Text
[fd230a8d-0c83-48db-afd2-0f2995ff0d87],WORD,PRINTED,99.818,0.03782,0.04751,[Meteorological]
[71112918-ca30-4c74-8863-70dd1b8b0ce6],WORD,PRINTED,99.377,0.03775,0.16566,[Observations]
[652da42e-1656-4396-b870-9d8d67ce9a7c],WORD,PRINTED,99.889,0.03921,0.26929,[at]
[95e0873d-be26-4fb9-9787-3eb7347f1415],WORD,HANDWRITING,98.663,0.03484,0.32029,[Keswick]
[4f9001f5-310b-4f6f-8c64-d9cdab233653],WORD,PRINTED,99.880,0.03701,0.55435,[Heights]
[a84c6925-bff7-4fa4-8473-7c0dc8f9b4fc],WORD,PRINTED,99.714,0.03919,0.60566,[Barometer]
[9d11ba91-3864-4ff0-bd0c-196d6bd455dc],WORD,PRINTED,99.634,0.03918,0.66186,[Cistern]
[4d7471a0-4f51-423d-8c88-885f829e60e1],WORD,HANDWRITING,48.202,0.03955,0.70448,[254]
[185cf679-2b53-4482-a0d5-bb42af756e93],WORD,PRINTED,97.843,0.03882,0.74481,[feet.]
[94e70b67-8be0-4d31-ba21-443b8530c743],WORD,PRINTED,98.125,0.03595,0.83621,[Rim]
[9600e113-f3e3-45e1-976e-64d2174ecf4b],WORD,PRINTED,98.428,0.03605,0.86306,[of]
[b31e1ae4-d8bd-4675-bb9e-6a7f3f7ff27a],WORD,PRINTED,99.478,0.03586,0.87801,[Rain]
[088aeeb9-f9b6-4eba-8a0e-7fd33a51e8aa],WORD,PRINTED,99.559,0.03585,0.90616,[Gauge]
[251f8406-271f-4ea7-92f2-f2d0cccbce8a],WORD,HANDWRITING,85.276,0.03356,0.94151,[12]
[5411be99-13c0-4720-b78f-92e74991f991],WORD,PRINTED,43.982,0.03800,0.96591,[inc]
[1fe63bac-2031-40fa-8f99-881922df9eb6],WORD,PRINTED,99.954,0.04931,0.55953,[above]
[718a2615-8488-47f9-be97-2d2c96a81b1a],WORD,PRINTED,99.819,0.04341,0.78623,[Heights]
[dd9fe713-cc75-4805-9d97-0283b1e22ff9],WORD,PRINTED,99.357,0.05061,0.83742,[Thermometers]
[b7d24b3a-c7a4-44df-9cca-fb9b1e869ac8],WORD,PRINTED,99.146,0.05754,0.04579,[County]
[3bcb1ccc-0e81-4605-998a-842e68a1e1e6],WORD,HANDWRITING,93.626,0.05502,0.11247,[Cum]
[33004503-3e8f-45a3-9e3a-cfc40af75337],WORD,HANDWRITING,97.613,0.05465,0.15637,[berland]
[fbfedde9-d985-42fc-b99d-a5d00741dc1c],WORD,PRINTED,99.963,0.05765,0.30530,[Month]
[d0e85df9-04b2-4437-ab15-663d6c416e52],WORD,HANDWRITING,99.767,0.05493,0.35845,[January]
[003ffb2e-862a-48e4-9a52-7747d1f97d29],WORD,HANDWRITING,99.084,0.05096,0.94726,[4]
[54909ee6-745e-49b1-8641-0d935a142030],WORD,HANDWRITING,88.591,0.05708,0.48170,[1924.]
[79130783-1aca-4e2a-b977-d184fb59a597],WORD,PRINTED,98.003,0.06104,0.55805,[M.S.L.]
[d7469d73-4c6f-435a-83e1-f130445c371f],WORD,PRINTED,99.818,0.05877,0.60515,[Rain]
[ca674fe9-c7a5-4c46-93a3-489ff7e0297e],WORD,PRINTED,99.193,0.05901,0.63701,[Gauge]
[2f3e005e-ac3d-407a-89fd-6ac78a1c54b7],WORD,PRINTED,99.580,0.05858,0.67790,[Site]
[98d5f998-a39d-42f9-a75b-83d8d2c6e709],WORD,HANDWRITING,81.748,0.05770,0.70804,"[254,]"
[67dd4903-f096-40eb-b40a-02a653944160],WORD,PRINTED,71.905,0.06377,0.75310,"[""]"
[b41507d1-d6f2-4066-808b-c59a8d5f493a],WORD,PRINTED,99.890,0.06342,0.79221,[above]
[a0339dd1-bd50-4bfe-82e1-c5a95ace8569],WORD,PRINTED,99.750,0.06503,0.83714,[Sunshine]
[bc824877-d5cb-47ef-9902-ac4c7f559a11],WORD,PRINTED,99.914,0.06490,0.89401,[Recorder]
[ea50bb6a-8789-47fd-bbac-b96a979650fb],WORD,PRINTED,99.837,0.07594,0.06406,[Hour]
[5cfec71f-8234-4c72-a87c-17fd42aa9e08],WORD,PRINTED,99.839,0.07653,0.09349,[of]
[f3372faf-64bf-44db-a0a0-0dfd11204616],WORD,PRINTED,57.460,0.07586,0.10897,[Observation:]
[5e850d2b-7712-4b49-a8a7-04e1f6f55a50],WORD,HANDWRITING,87.698,0.07515,0.20607,[9]
[6a55313f-45a6-455e-a806-c7236bf7e015],WORD,HANDWRITING,89.892,0.07625,0.22591,[h.]
[4de39773-0820-47a5-b6a7-70cfcf956433],WORD,PRINTED,98.272,0.07755,0.25992,[m.]
[0c5b06a1-cc49-474b-91ec-4d8a598ea4cc],WORD,PRINTED,99.541,0.07601,0.28066,[Greenwich]
[19a1d607-50df-4ed3-bdb1-1b03832724a3],WORD,PRINTED,99.454,0.07644,0.33850,[Time=]
[a22c3f90-806d-4567-a9b1-b9d0b5d7610d],WORD,PRINTED,85.880,0.07693,0.40053,[h.]
[e7383668-5f90-4a92-a5db-be9f37c10b23],WORD,PRINTED,96.694,0.07919,0.43541,[m.]
[49714246-ee55-4a90-a4ac-7895f26f9e5b],WORD,PRINTED,99.577,0.07621,0.45520,[Civil]
[a2bc2eec-0188-4727-a17a-b79d3d1edd5f],WORD,PRINTED,98.020,0.07610,0.48334,[Time.]
[275f9989-4887-4ca4-a253-a6d2abf53de1],WORD,PRINTED,99.415,0.07334,0.55435,[Latitude]
[324660e2-b911-4903-9d08-a073bf641a69],WORD,HANDWRITING,99.435,0.07315,0.62294,[54]
[b54071f5-c54c-476d-b8c7-c571271549fd],WORD,HANDWRITING,43.997,0.07393,0.65544,[D]
[2d4da932-e5bb-441f-82ce-4fcfaac7894d],WORD,HANDWRITING,98.300,0.07160,0.67750,[36]
[0e0183cf-a9bf-4fe0-a651-d4603e43d3e5],WORD,HANDWRITING,89.622,0.07044,0.72858,[N]
[7f35027c-458f-4a32-b7b0-65b3b3ee181e],WORD,PRINTED,99.811,0.06654,0.95331,[4]
[6d369999-249d-47fb-bea6-7ac248752905],WORD,PRINTED,99.918,0.08267,0.78928,[Ground]
[00027ce6-c159-4cf0-9234-7791c8433e8e],WORD,PRINTED,99.726,0.08001,0.83728,[Vane]
[aab395d0-9a6c-4bec-9db3-76cea41b9a3f],WORD,PRINTED,98.871,0.08268,0.87204,[or]
[0dac812b-2cf1-415d-a5dd-56c9c1f2a7e2],WORD,PRINTED,99.650,0.07986,0.89233,[Cups]
[01b77caa-1338-4066-9cae-79c0b89a3a9b],WORD,PRINTED,99.275,0.08008,0.92845,[of]
[2a6accbb-fc4d-4746-b5ac-123089bb9632],WORD,PRINTED,99.816,0.09103,0.06433,[Standard]
[346717b2-1aea-4c46-bdd3-fd81ab57e362],WORD,PRINTED,99.430,0.09111,0.11620,[of]
[22e1d828-a187-496c-b5d8-e1bdf3305088],WORD,PRINTED,99.885,0.09085,0.13326,[Time]
[a325af41-0946-48fc-b933-0ad1ec41a0df],WORD,PRINTED,99.869,0.09116,0.16580,[in]
[d461beb2-3de8-474c-a991-bc194c80cbc3],WORD,PRINTED,99.842,0.09049,0.18284,[Remarks]
[8627d9f8-5f4b-49c6-9957-240c2cbb30b8],WORD,PRINTED,99.713,0.09096,0.23403,[Column]
[e62f0fee-6b42-409a-a4b1-58525551abf1],WORD,PRINTED,98.277,0.09159,0.27754,[is]
[c10e801e-c2eb-4d4d-b14e-5dafb5f1413b],WORD,HANDWRITING,95.444,0.08975,0.30756,[9]
[c8ecb542-f1e1-4978-8f95-411ada50c827],WORD,HANDWRITING,93.772,0.08918,0.33254,[GMT]
[0a018824-1307-4fe5-a288-0663dc9390a9],WORD,PRINTED,98.316,0.09001,0.55383,[Longitude]
[8fb28f43-3db6-4012-9a19-db7d1903d2c3],WORD,HANDWRITING,97.260,0.08960,0.63589,[3]
[63900f04-0355-4b07-bf7d-a126ee54f556],WORD,PRINTED,62.856,0.09062,0.65534,[o]
[eddd2e0e-fee1-4fd5-8b2d-0267a6c21577],WORD,HANDWRITING,99.252,0.08912,0.68400,[9]
[aae80932-6e4d-420e-a9f4-2fc19e1ed465],WORD,PRINTED,70.870,0.08850,0.73156,[w]
[097e4dd5-a576-4424-b6aa-871ceeca6bd2],WORD,PRINTED,98.225,0.09018,0.85023,[Anemometer]
[7579ed3b-4638-4147-a5e8-098d784248b9],WORD,PRINTED,83.096,0.08919,0.95662,[-]
[ef9f33aa-4a71-4804-97e5-c9a00fc4f8fa],WORD,PRINTED,99.821,0.11423,0.05838,[Attached]
[1682669b-062f-4df6-bf38-ced8f6d47390],WORD,PRINTED,99.830,0.11185,0.16886,[Air]
[45fa3bdd-db1e-4e9d-b348-8cc039cdbecd],WORD,PRINTED,99.697,0.10832,0.23260,[Temperature]
[1fddc3e5-1169-48b2-84e3-2b2f2edb6233],WORD,PRINTED,99.496,0.10862,0.30558,[(Degrees]
[7f6bfcb7-7ee3-4468-96f0-f59cc4446e0b],WORD,PRINTED,82.736,0.10869,0.35466,[F.).]
[c1ec3bc8-2051-457e-8620-8387a30972be],WORD,PRINTED,99.928,0.10772,0.52830,[Weather]
[adbd0cab-ae21-4bb6-9f63-4519f37390f0],WORD,PRINTED,99.839,0.10760,0.66517,[Cloud]
[d0b7db9d-27b9-4a8b-b2f2-3239669575ee],WORD,PRINTED,99.913,0.10941,0.71900,[Amount]
[2852e8f5-96eb-4adf-8158-c3e8b88e43b4],WORD,PRINTED,95.379,0.10941,0.76152,[Sun-]
[d8db58b2-b399-44e9-8ba2-b31e391b4970],WORD,PRINTED,99.771,0.11941,0.15832,[Pressure]
[ad5c0d0e-63b9-43b4-9dd7-a616506cd554],WORD,PRINTED,99.781,0.11773,0.44259,"[Wind,]"
[417e1494-e646-415d-8dec-e7ea82be6925],WORD,PRINTED,98.821,0.11786,0.71904,[of]
[f4c6501c-7e13-4a6f-a752-4dd58f4218e7],WORD,PRINTED,96.291,0.11782,0.73063,[Rain.]
[3aa684a1-d733-42d2-86dd-1c973376130a],WORD,PRINTED,98.972,0.11953,0.75912,[shine.]
[e5282926-e8fc-4e84-9cc8-3aa841b8f904],WORD,PRINTED,91.707,0.11684,0.84362,[REMARKS.]
[63a4df9e-9727-4863-ac0c-31799ed75e45],WORD,PRINTED,99.723,0.12418,0.04773,[Thermometer]
[e9a6e0ab-09e3-4810-8570-12b43993ef6b],WORD,PRINTED,98.717,0.12735,0.17189,[at]
[641d60cd-dc59-49f4-bfa1-56a93e3aeb04],WORD,PRINTED,99.876,0.12515,0.23552,[In]
[3088a59d-1dd4-42e1-a3cc-dd2b54adda8b],WORD,PRINTED,64.170,0.12520,0.24879,[Screen.]
[9679c44c-1e5d-4b48-8157-7e0b70b980d2],WORD,PRINTED,99.670,0.12561,0.35422,[In]
[3361f1af-42ea-47ff-b614-324e7453355e],WORD,PRINTED,80.526,0.12576,0.36678,[Ground]
[a89113fc-5d90-4430-8c0b-f560405b8f06],WORD,PRINTED,99.962,0.13389,0.06974,[and]
[ff274cac-6388-4bc6-97e6-474d1d2fa4d1],WORD,PRINTED,99.821,0.13424,0.15603,[Mean]
[96343556-ab71-4d3f-8951-5c95cbfae34c],WORD,PRINTED,99.543,0.13416,0.18160,[Sea]
[6fbdf4a1-6b1c-4d42-a2a9-a1c075cef76d],WORD,PRINTED,99.346,0.13536,0.43890,[Beaufort]
[d285436e-b644-4c1d-a3a0-e967232ac939],WORD,PRINTED,98.790,0.13110,0.79951,[(For]
[59f79cc3-ec9e-49dd-b162-72d7171aa17d],WORD,PRINTED,99.235,0.13111,0.81889,[the]
[87326741-9e96-45ab-b375-bf5f66d2d16f],WORD,PRINTED,99.429,0.13178,0.83289,[24]
[3a170ae2-0eb8-40cd-a4bb-e7966a790846],WORD,PRINTED,99.568,0.13090,0.84379,[hours]
[01c2de4f-7ea8-44c3-b9e2-6162771f7d89],WORD,PRINTED,99.833,0.13114,0.86639,[ending]
[bdeb01b5-e52f-4127-a920-2ba83a800cb6],WORD,PRINTED,99.871,0.13140,0.89375,[at]
[65e1b1de-c483-417a-bf5b-eee96007a187],WORD,PRINTED,99.535,0.13100,0.90499,[midnight.)]
[c93e7f36-9e82-47b4-9e71-430fe3c84652],WORD,PRINTED,99.513,0.14367,0.05333,[Barometer]
[85241fce-70bd-4118-96be-2889a579c4f1],WORD,PRINTED,99.925,0.14241,0.16506,[Level]
[ec3bcfb1-088c-4cae-9423-779d6478b14c],WORD,PRINTED,98.483,0.14354,0.44448,[Scale.]
[ec881acf-7a94-423d-9c6b-061739358d29],WORD,PRINTED,99.720,0.15041,0.17184,[in]
[5da1e767-ea31-4ce4-9060-6cba9546a27f],WORD,PRINTED,95.734,0.14945,0.20524,[Dry.]
[6136be3b-31da-4802-aec5-694510a42517],WORD,PRINTED,97.209,0.14936,0.23397,[Wet.]
[cc145d36-b9ee-4b1a-8c4a-0b4b0e380141],WORD,PRINTED,99.110,0.14949,0.26190,[Max.]
[d6c56920-874c-4d1a-af7a-d2c1b4699785],WORD,PRINTED,90.295,0.14941,0.28759,[Min.]
[4ced19cb-78a0-4b2e-914a-eb02e35f96b6],WORD,PRINTED,98.864,0.14607,0.80798,[Enter]
[0049a61f-aec8-47a3-8313-99d220828fbb],WORD,PRINTED,98.658,0.14614,0.82956,[here]
[e71b8863-6d05-4ff2-8f8d-d259d3cded21],WORD,PRINTED,98.084,0.14595,0.84584,[brief]
[a1ed8d16-64b2-44ce-8cb3-492cb0313199],WORD,PRINTED,98.592,0.14621,0.86271,[general]
[9b77fa4b-8296-4667-8d3d-ac51b2617dae],WORD,PRINTED,99.178,0.14637,0.88864,[remarks]
[4c90b6ff-38a5-4415-9469-8b980d63074c],WORD,PRINTED,95.300,0.14582,0.91893,[and]
[537d672c-f569-4aab-88d6-9368d740f6ad],WORD,PRINTED,99.304,0.14613,0.93255,[such]
[22501c36-cba9-477c-81c2-b04f02fa1dcc],WORD,PRINTED,98.461,0.15568,0.05731,[as]
[0dd1af88-89ae-4df0-8345-7f569bac6fa1],WORD,PRINTED,97.602,0.15363,0.07326,[read.]
[0e52639b-89e9-4dfe-b7c0-5a009b7a1d70],WORD,PRINTED,97.945,0.15128,0.79513,[particulars]
[3faa1b9e-6d0c-429e-9771-dc94fb64054a],WORD,PRINTED,97.418,0.15162,0.83629,[as]
[5a6e7189-3567-4ae9-a93d-d24a95294973],WORD,PRINTED,98.465,0.15112,0.84884,[the]
[a25888c8-86cc-4078-bff9-3bb894ba6c50],WORD,PRINTED,98.705,0.15135,0.86433,[time]
[d2581c21-cda9-4355-9150-87a68b45aa90],WORD,PRINTED,98.039,0.15121,0.88286,[of]
[44113341-ae30-4706-b61b-9f03a65c65e2],WORD,PRINTED,93.503,0.15178,0.89453,[occurrence]
[b9b448b1-df98-4720-83dc-c010e88fa5d6],WORD,PRINTED,99.515,0.15132,0.93450,[and]
[29dafe69-f1bb-49e7-a6a2-ab1b6d6fe072],WORD,PRINTED,99.240,0.15760,0.15671,[millibars]
[be622580-1291-400f-a933-8e42895ed39f],WORD,PRINTED,98.921,0.15608,0.79542,[duration]
[00b0d8f9-ae38-481e-8e98-44a630a0a4aa],WORD,PRINTED,98.416,0.15621,0.82596,[of]
[b59e089f-7717-4589-addc-5fa6dde2333e],WORD,PRINTED,99.294,0.15616,0.83527,[various]
[7edccece-dfb9-48f6-a25a-e440d7c01bbd],WORD,PRINTED,85.808,0.15628,0.86165,[phenomena.]
[072e0c88-eb69-4ff8-9d39-da3b5cf438cc],WORD,PRINTED,99.595,0.16337,0.80832,[The]
[2f1f315f-9e8e-4eab-af67-11d4dce7e2a2],WORD,PRINTED,99.657,0.16310,0.82434,[last]
[6b6fc6ac-7259-47ec-a49a-20cc7818cd16],WORD,PRINTED,99.731,0.16311,0.84046,[column]
[38062911-2329-4d92-9423-77e604bc4881],WORD,PRINTED,99.330,0.16421,0.86813,[on]
[539205b9-6339-43c5-bd6f-55aa5db6afc9],WORD,PRINTED,99.619,0.16326,0.88033,[the]
[63e5b135-88ee-41c0-80a3-50c7dfbcc371],WORD,PRINTED,99.619,0.16329,0.89467,[form]
[c27c634c-e39a-4fcb-90ea-6a5d62000849],WORD,PRINTED,99.835,0.16315,0.91394,[should]
[fe30fd53-45eb-4cf5-97d9-0a7ac5b11d94],WORD,PRINTED,99.185,0.16331,0.93918,[be]
[24a73ecc-564f-49f3-a27c-f69ae9c49fad],WORD,PRINTED,97.026,0.16902,0.79519,[reserved]
[815fab12-ea86-4bf9-88be-510d4d5c4d97],WORD,PRINTED,99.340,0.16862,0.82478,[for]
[2825dc5e-b7a9-466d-863b-68040d8849c6],WORD,PRINTED,99.146,0.16812,0.83770,[the]
[cff1e0bf-052b-4ce6-861c-389a05292184],WORD,PRINTED,95.677,0.16843,0.85158,[International]
[2036a5a7-120b-4312-990d-1825da9dcf4a],WORD,PRINTED,83.216,0.16852,0.89837,[Symbols.]
[4687fe38-9297-4aca-864d-817844d68a1d],WORD,PRINTED,99.801,0.16835,0.93481,[The]
[c4e84411-6967-4638-9e71-8d722f6c3c8e],WORD,PRINTED,99.372,0.17338,0.79484,[symbol]
[7671a6d1-a133-4699-ab4e-122c36048fd5],WORD,PRINTED,99.495,0.17350,0.82241,[for]
[79608b8b-ac3b-419f-916b-8aa25935f31e],WORD,PRINTED,99.439,0.17363,0.83433,[rain]
[4fd48780-82bc-4872-a503-b14e475655cf],WORD,PRINTED,97.032,0.17362,0.84967,[need]
[2de37b72-a79d-4aaa-8037-7a4059fe44ee],WORD,PRINTED,90.610,0.17386,0.86671,[not]
[59333646-6f05-4dcb-a25f-039e4ecac1ed],WORD,PRINTED,97.271,0.17375,0.88083,[be]
[abb60d47-0cd4-4520-a699-95914c409d1b],WORD,PRINTED,99.736,0.17347,0.89088,[entered]
[e81250b0-ffa8-4f6b-b341-89645fce2792],WORD,PRINTED,98.112,0.17339,0.91781,[however]
[e2920147-6dcd-4613-8cf5-666e603733b7],WORD,PRINTED,98.827,0.18330,0.07238,[I.]
[aa5891ae-2659-4111-af80-767bae40a6df],WORD,PRINTED,21.487,0.17941,0.13322,[Dat]
[f4dfec62-9485-4adb-961a-d5184e0b9757],WORD,PRINTED,99.292,0.18284,0.17181,[I.]
[fb977bae-f822-4821-b251-713047766e03],WORD,PRINTED,97.140,0.18280,0.22741,[I.]
[f48c19c6-35d3-43ef-a85c-e594a089c53a],WORD,PRINTED,99.583,0.18100,0.27379,[Whole]
[d6787b30-411f-4384-ae21-b953beeb4770],WORD,PRINTED,98.987,0.18599,0.31973,[Whole]
[83b2f64b-3a94-4ce8-9434-f47f0e9a06bc],WORD,PRINTED,99.219,0.18300,0.41587,[I.]
[8ad28736-c28d-4e4f-8132-344705de163f],WORD,PRINTED,98.510,0.18310,0.45326,[I.]
[073a4764-24f9-46a2-a223-86ba63ff46dc],WORD,PRINTED,98.824,0.18255,0.62509,[I.]
[3748d22a-15fc-497a-a437-a1e274f075b5],WORD,PRINTED,86.794,0.18217,0.65042,[I.]
[1b52d69e-7fdb-4e24-abe7-eae0371cf126],WORD,PRINTED,98.768,0.18222,0.67421,[I.]
[5bbc56b0-7ee6-4632-b59e-66595eba42ba],WORD,PRINTED,97.218,0.18205,0.69753,[I.]
[00c1ba56-a6af-4ab6-abdc-e50a04f66878],WORD,PRINTED,94.670,0.18037,0.79607,[The]
[66a7dcf4-974b-435d-8ee6-e4bec2bce151],WORD,PRINTED,98.493,0.18032,0.80983,[symbol]
[6b9a0af7-4170-4745-8b7a-46b5409ee212],WORD,PRINTED,98.648,0.18138,0.85132,[in]
[fd03fefe-cb29-400a-851d-7210d3f1c0c2],WORD,PRINTED,98.323,0.18072,0.85994,[this]
[707df334-bd32-49d8-a619-3b4d0a0a90e0],WORD,PRINTED,99.466,0.18061,0.87316,[column]
[3321c97f-5c13-4141-baaf-6e47d9775316],WORD,PRINTED,99.778,0.18064,0.89918,[indicates]
[d7fdd079-cfa5-48ce-83f0-6f1de05aeb62],WORD,PRINTED,98.307,0.18138,0.93085,[snow]
[62d6398f-8ebf-4a1d-9a0a-3d760db901d5],WORD,PRINTED,94.956,0.18871,0.27007,[degrees.]
[55eefa44-33ae-4139-9fdb-097ca4043567],WORD,PRINTED,80.119,0.19151,0.31677,[degrees.]
[98fcf55a-dad0-4392-ab3b-bbd6acf74c15],WORD,PRINTED,99.784,0.18810,0.79498,[lying]
[bc908968-8317-4271-a2c0-1a51614d99ac],WORD,PRINTED,96.592,0.18841,0.81440,[at]
[cb367ed6-2942-43c6-8547-f601a30b662a],WORD,PRINTED,99.212,0.18791,0.82340,[the]
[46655a0d-7931-4a3e-ad95-c1011b3a67ea],WORD,PRINTED,99.516,0.18803,0.83606,[morning]
[8c2c4384-cee6-46a0-a662-6573d902b151],WORD,PRINTED,95.429,0.18786,0.86645,[observation.]
[752440ef-6248-4034-8a92-9d88dad22dd8],WORD,PRINTED,99.283,0.20280,0.04619,[(1)]
[163249cc-96db-4cd5-a5de-7b44b53217a4],WORD,PRINTED,99.760,0.20270,0.09457,[(2)]
[47832aa2-9a1a-4879-8eba-d78b610be7d5],WORD,PRINTED,99.656,0.20248,0.16826,[(3)]
[9e7f7e37-3f40-4dca-a7a4-11685b487bda],WORD,PRINTED,99.704,0.20239,0.21307,[(4)]
[df015c11-bf5b-490e-88f3-9d90b3d6aba6],WORD,PRINTED,99.212,0.20243,0.24163,[(5)]
[4bb580a6-b719-44b5-b7b3-b4fcd44f344d],WORD,PRINTED,99.739,0.20240,0.26980,[(6)]
[e92e1dac-1156-4868-995c-3d324cc61936],WORD,PRINTED,99.122,0.20247,0.29319,[(7)]
[549207aa-1425-4b85-bd76-47d314a9493c],WORD,PRINTED,99.343,0.20246,0.31559,[(8)]
[d8ddc60e-7b60-4a4f-a4b6-ff6c6615f68a],WORD,PRINTED,99.520,0.20254,0.33719,[(9)]
[1e99a210-9b25-4a30-99b7-eeed58fae35e],WORD,PRINTED,99.537,0.20258,0.35783,[(10)]
[a384fd6d-f87a-4ae7-b91c-38d8f6e40a91],WORD,PRINTED,99.313,0.20257,0.38128,[(11)]
[70202068-87c5-417a-b0a1-551fd4bf7000],WORD,PRINTED,99.580,0.20268,0.40832,[(12)]
[094a0e6a-ead4-413f-9701-2dccca2ec720],WORD,PRINTED,99.381,0.20252,0.43338,[(13)]
[ae6942f0-0bd6-4295-a3bd-afa4053026b9],WORD,PRINTED,99.646,0.20269,0.45893,[(14)]
[4b22c47d-c4dc-4826-bd0b-d2a8ec09b588],WORD,PRINTED,99.874,0.20233,0.50277,[(15)]
[5a0aa925-597c-4680-8254-cd4ff259acbd],WORD,PRINTED,99.615,0.20207,0.53661,[(16)]
[a4ecfc4c-42b2-4c2b-9303-8651e2f2c116],WORD,PRINTED,99.714,0.20229,0.57576,[(17)]
[cc4cdbf3-25cb-4dfe-ac42-96df3e3c3e6e],WORD,PRINTED,99.790,0.20215,0.61543,[(18)]
[160bfa14-51e9-4ce6-a44d-6ec4693d138c],WORD,PRINTED,99.682,0.20206,0.64060,[(19)]
[683bdbe7-2441-4d8b-884d-07f6048c566c],WORD,PRINTED,99.706,0.20202,0.66612,[(20)]
[f909c53e-c09f-4707-9c7e-44a288515298],WORD,PRINTED,99.715,0.20204,0.69134,[(21)]
[3c5289c1-b347-4ede-a700-710b0a268783],WORD,PRINTED,99.851,0.20207,0.72522,[(22)]
[e1a3d3f3-3cfc-4458-9f68-252d0b79b01f],WORD,PRINTED,99.539,0.20194,0.76222,[(23)]
[3bbcb17a-7fa2-4425-9bd1-ec14696869f5],WORD,PRINTED,99.748,0.20190,0.95680,[(24)]
[563b177c-e458-4dce-b171-047e7e1651b8],WORD,PRINTED,89.587,0.21596,0.08058,[in.]
[f5c4e0bd-d4f2-4d09-bf4a-0f1a3bc0e27b],WORD,PRINTED,92.045,0.21722,0.09199,[or]
[96878a9c-e23b-46ed-b2f0-7570611fc851],WORD,PRINTED,91.719,0.21575,0.10133,[mb.]
[73f9da4f-bfdb-441d-a491-8b0409f2d286],WORD,PRINTED,98.092,0.21562,0.16788,[mb.]
[c29065af-7ebd-43d9-b6cd-e556234f4bc7],WORD,PRINTED,96.222,0.21614,0.41236,[%]
[2f4538f8-e4a0-499e-8cfb-d2de06f712d9],WORD,PRINTED,91.452,0.21525,0.43268,[Direc-]
[4e37cbe1-7012-45c2-8d17-9bce76d6c9c5],WORD,PRINTED,48.985,0.21509,0.45673,[Force.]
[44ac03e2-2277-4fb6-aa41-50e7eee317ee],WORD,PRINTED,55.160,0.21488,0.74591,[in.]
[da899b61-2669-4d39-b66b-70c90e738aec],WORD,PRINTED,98.632,0.21439,0.76651,[hr.]
[9c482e8b-cbb9-4424-bbcf-0924ce143356],WORD,PRINTED,68.898,0.22109,0.43603,[tion.]
[3ba98e06-b918-4f6a-8a66-a6e7825b5809],WORD,PRINTED,25.956,0.22658,0.66233,[Mem]
[54fb8e2f-192c-4fe6-bdba-28054b5ad8c9],WORD,HANDWRITING,31.110,0.22353,0.83775,[9am.]
[f68ada8a-f978-4a99-8ec1-29209744addc],WORD,PRINTED,96.219,0.23544,0.13835,[1]
[871634a9-813b-4a41-bc6c-ec30380d6ece],WORD,HANDWRITING,90.561,0.23755,0.15175,[1023.5]
[c69f52ee-45a2-4169-a69a-341a625dddd8],WORD,HANDWRITING,99.445,0.23948,0.20147,[47.5]
[4e630919-b117-421b-82d5-1ed76f49dc2c],WORD,HANDWRITING,94.729,0.23818,0.23224,[46.5]
[b63a5095-3672-4d44-9fde-c2fc71ee10bf],WORD,HANDWRITING,86.318,0.23875,0.25827,[49.039]
[335f870b-69da-4b54-9380-c2030dfcb0a0],WORD,HANDWRITING,99.841,0.23694,0.30678,[36]
[3b9986cd-4bad-42ac-8e46-470d2c48db67],WORD,HANDWRITING,64.471,0.23851,0.33134,[42.]
[345fd06b-53c7-4197-b88d-ab06b9e916d4],WORD,HANDWRITING,82.278,0.23934,0.35254,[39.242.5]
[b04a7afc-1dfc-45a2-a77e-1e70dd92e439],WORD,HANDWRITING,98.523,0.23705,0.42977,[W]
[208c3584-3706-4ca7-92c0-2fcba990352c],WORD,HANDWRITING,79.816,0.23787,0.46239,[1]
[9085c143-f744-4f0a-a72d-118d24ae5afb],WORD,HANDWRITING,62.529,0.23116,0.48901,[to]
[532b942f-5f33-406a-90d5-25e7ae4b8972],WORD,HANDWRITING,76.349,0.23529,0.53423,[C]
[b8f15bbe-6c7a-4b0e-9eb4-0e6a38fbe169],WORD,HANDWRITING,63.724,0.23402,0.56579,[d.]
[86f39b63-1d86-4fdc-bf0e-60372ca60351],WORD,HANDWRITING,99.546,0.23318,0.61682,[I]
[c6c532cb-bda5-4bd9-b396-98d3a7738ff7],WORD,HANDWRITING,97.784,0.23561,0.64539,[8]
[c95ff43d-8c39-43b0-980f-1840f4bcbaf7],WORD,HANDWRITING,99.588,0.23450,0.66436,[DC]
[5e1bf845-888a-459d-9603-801beed026bb],WORD,HANDWRITING,74.052,0.23523,0.69273,[W]
[448bdf77-8261-4737-ad3b-35275403805d],WORD,HANDWRITING,48.217,0.23725,0.72364,[oy.]
[6c9aa711-9c0c-4570-87cb-7260a44a6d0e],WORD,HANDWRITING,89.353,0.23657,0.76063,[0.3]
[de383091-2958-4644-bed7-c15dacdc5144],WORD,HANDWRITING,38.919,0.23754,0.79344,[O]
[1963d005-ad2e-44df-b960-72ad5d26f4d6],WORD,HANDWRITING,68.327,0.23255,0.80858,[Fine]
[f54075b6-3526-4e36-9a77-24eda11b6491],WORD,HANDWRITING,23.530,0.23227,0.84696,"[pleasant,Dryle]"
[957e5df3-d64c-47be-96f6-2af3d3233592],WORD,HANDWRITING,56.200,0.23886,0.95649,[O']
