Block Id,BlockType,TextType,Confidence,Top,Left,Text
[1554e6b5-c93d-4259-872e-038707062dfc],WORD,PRINTED,92.988,0.03400,0.03395,[FORM]
[ce7cfc74-e334-4cca-885a-b66e1c2ec32f],WORD,PRINTED,96.182,0.03548,0.07900,[A.]
[5b44054d-8b77-4bb4-99f8-ddcd72e1dcd8],WORD,PRINTED,25.378,0.03650,0.10014,[L.]
[f2b2b5f3-178a-4ef3-b044-07162881f8e5],WORD,PRINTED,96.079,0.03255,0.13948,[METEOROLOGICAL]
[e7978f3f-3abc-4e4e-a891-ab46081032f0],WORD,PRINTED,99.635,0.03341,0.35698,[OFFICE]
[75c7049b-a8dd-4b2e-b968-98879b633578],WORD,PRINTED,98.732,0.03339,0.45688,[BRITISH]
[e97ca193-d1f4-44c2-adf4-af8706cab9aa],WORD,PRINTED,99.696,0.03323,0.55798,[RAINFALL]
[41bacd48-239c-49ba-9788-371e6c0ac77d],WORD,PRINTED,82.541,0.03227,0.68350,[ORGANIZATION.]
[36cb5350-8cc4-49ef-950a-6b62d64bd268],WORD,PRINTED,99.867,0.04953,0.23087,[REGISTER]
[7224f8cb-38f8-4129-86d3-34a350c66ffd],WORD,PRINTED,99.789,0.05121,0.39810,[OF]
[8571d153-aadd-4786-a549-453cc3bfde96],WORD,PRINTED,99.817,0.04976,0.44963,[RAINFALL]
[7b348bb9-f2b3-40bd-b3f0-6f694555ffe7],WORD,PRINTED,99.868,0.05141,0.61797,[IN]
[560803f6-11cd-4776-8fe5-ff5ecf96ddc2],WORD,PRINTED,99.814,0.05138,0.66912,[1920]
[77865c09-896c-4ea3-8787-117cce32e9bf],WORD,PRINTED,48.009,0.07785,0.67607,[Bong.]
[960d60d1-7153-4d4b-af63-45202df8079d],WORD,PRINTED,91.827,0.06880,0.72451,[6° 16' W]
[c724cbd1-b87e-42e8-b9ed-4490fc983d53],WORD,PRINTED,95.723,0.08977,0.06438,[Kept]
[b3f003cc-ce28-45c4-9999-6e64a8fc2d56],WORD,PRINTED,86.354,0.09043,0.11167,[at]
[f5ba66f4-7b91-486c-b283-dada3ed93974],WORD,PRINTED,99.939,0.11355,0.06361,[in]
