Block Id,BlockType,TextType,Confidence,Top,Left,Text
[d4a9db24-ea2d-4112-8688-6e862f4ab3a5],WORD,PRINTED,99.976,0.07942,0.02484,[Section]
[9b9ba171-2bb3-4d02-a866-32468f07eb33],WORD,PRINTED,92.146,0.07888,0.11029,[A]
[410b0a9a-68b8-47b9-9f1c-2d7a174cf8a1],WORD,PRINTED,99.950,0.07852,0.17293,[for]
[2c61547e-c960-49c9-9217-a8f26403b495],WORD,PRINTED,99.957,0.07829,0.20404,[the]
[cf4c1abe-e647-4836-9ec2-a4b3eb71ac15],WORD,PRINTED,98.151,0.07883,0.23562,[entry]
[4550b618-a401-4bbc-a706-0a503cc41f98],WORD,PRINTED,99.567,0.07822,0.28481,[of]
[e92e10b7-02f4-4ef3-9fa7-d628c33e5b20],WORD,PRINTED,90.156,0.07996,0.30811,[Dany]
[1ed871c5-a5df-4d80-b416-53510eddad42],WORD,PRINTED,99.898,0.07796,0.75065,[Station]
[86d66eee-879c-495d-9e20-7c93920a2d0d],WORD,PRINTED,99.667,0.07829,0.81826,[No]
[dc902c2d-d224-4f92-b2b6-5f3f22f5a009],WORD,PRINTED,81.613,0.06298,0.85587,[1810/8]
[acc2cfc7-8bd5-4423-bba3-66d631a228ab],WORD,PRINTED,99.950,0.09220,0.17869,[AIR]
[a9886ed5-45c6-4f27-a65c-85d4e870a0a3],WORD,PRINTED,88.878,0.09128,0.22412,[MINISTRY.-METEOROLOGICAL]
[e14eeb2e-2489-411b-93aa-1840799fa494],WORD,PRINTED,90.911,0.09136,0.50306,[OFFICE.-BRITISH]
[ee843d0f-378b-4025-a30e-49129495e8ed],WORD,PRINTED,99.716,0.09161,0.67456,[RAINFALL]
[3c971cb3-1089-4923-aa56-83ae338c4630],WORD,PRINTED,98.206,0.09199,0.77635,[ORGANIZATION.]
[a7c4bd3c-0837-48b4-80db-3f7d8664ef7b],WORD,PRINTED,98.859,0.10600,0.02396,[FORM]
[2922482e-5a91-4741-bc9c-d67461c3b332],WORD,PRINTED,93.405,0.10692,0.07123,[1090.]
[29237a1c-3ffa-4ff6-aa1f-48950492db56],WORD,PRINTED,99.855,0.10413,0.20154,[REGISTER]
[d41a408d-6727-409e-a326-c452c67001cd],WORD,PRINTED,99.989,0.10384,0.38494,[OF]
[717ee469-5d94-40cc-b915-4572ba9810c9],WORD,PRINTED,99.584,0.10400,0.44965,[RAINFALL]
[f2755e6d-7e47-4109-a96f-cc6df176e610],WORD,PRINTED,99.979,0.10361,0.63302,[IN]
