Block Id,BlockType,TextType,Confidence,Top,Left,Text
[2de047de-af0c-4703-b6ad-6a1f83af4bc2],WORD,PRINTED,99.596,0.02241,0.20907,[Meteorological]
[7258fedd-46a4-44b8-88a3-67749e60a157],WORD,PRINTED,99.923,0.02249,0.50237,[Office]
[f84efcbc-121b-4402-9f24-d7a1780ac1db],WORD,PRINTED,99.955,0.02590,0.63526,[AIR]
[a86b2bc8-2eac-41ba-ae51-e5a3d173d4c7],WORD,PRINTED,99.888,0.02476,0.69545,[MINISTRY]
[df5260e7-0f71-433a-bdc6-14bea10618a0],WORD,HANDWRITING,98.190,0.01995,0.86290,[8]
[f4c4eb74-8dbe-49db-b5f0-a538cee25f50],WORD,PRINTED,99.846,0.05666,0.25809,[Date]
[fdc3e0f0-bb3f-4165-ad51-a709a2b5c456],WORD,PRINTED,99.675,0.05680,0.35929,[Inches]
[7359cd97-e227-494f-a551-1e088ad4152f],WORD,PRINTED,99.944,0.05681,0.59003,[Remarks]
[6f062a79-ee58-406f-a5d2-1f73d0537fc1],WORD,PRINTED,99.943,0.06027,0.69306,[on]
[8e7d8878-db3a-45d4-b583-409dc3c5076e],WORD,PRINTED,99.971,0.05693,0.72830,[the]
[6cf8269f-fafe-4c7a-bc4b-80e620031d2a],WORD,PRINTED,99.585,0.05679,0.77244,[Days]
[a89f1ae7-abd4-408c-9535-de2b6b321f4f],WORD,PRINTED,96.444,0.08592,0.28449,[I]
[05644270-6b9a-4e7f-9abe-94d6d9d46d70],WORD,HANDWRITING,62.309,0.08661,0.34403,[0.]
[7fa4e4f7-6901-4c9b-baee-2636124f54cf],WORD,PRINTED,99.924,0.11192,0.28244,[2]
[05cc910b-02d5-4cb4-a794-61961bcf2516],WORD,HANDWRITING,46.515,0.11656,0.34102,[o]
[ac9a17b3-5d29-4d46-b9d0-4d17775b14be],WORD,PRINTED,99.960,0.13938,0.28300,[3]
[3fd8baf7-066c-4e89-841b-d886010fbbc3],WORD,HANDWRITING,54.673,0.14319,0.33885,[O]
[e4936aa1-4bd5-4960-a568-b13766557053],WORD,PRINTED,99.950,0.16438,0.28245,[4]
[fa0a16d6-857b-4c0b-b18d-6b20724b2159],WORD,HANDWRITING,88.921,0.16422,0.34084,[of]
[f0add326-b48a-45d4-8a67-2330e7cf46c3],WORD,PRINTED,99.944,0.19186,0.28320,[5]
[02bb5805-df1d-4d34-98f0-865af4bf12c1],WORD,PRINTED,99.959,0.21954,0.28301,[6]
[14a4a68e-31ff-4c7c-850f-0b6a6b314a41],WORD,HANDWRITING,91.100,0.21334,0.38669,[005]
[788a7951-8221-407b-8abf-9638cbe59c94],WORD,PRINTED,99.950,0.24664,0.28220,[7]
[fa684932-a219-4a5f-b52b-4ac08a6d2896],WORD,HANDWRITING,58.111,0.24120,0.35418,[C.]
[6908e1a8-f128-4ad7-bef5-903b91b27866],WORD,PRINTED,99.948,0.27492,0.28313,[8]
[a9e5b650-e356-4711-8b8c-26dcc49b5fca],WORD,HANDWRITING,62.376,0.26980,0.34592,[0.]
