src_id,Station name,Area,Area type,Station start date,Station end date,Latitude,Longitude,Postcode,Open datasets available
14929,ABERDEEN: GORDON BARRACKS,ABERDEENSHIRE,COUNTY,[1956-01-01],[1960-12-31],57.1792,-2.08602,AB23 8,
14927,ABERDEEN: GRANDHOLM WKS,ABERDEENSHIRE,COUNTY,[1959-01-01],[1981-12-31],57.1774,-2.1191,AB22 8,
163,ABERDEEN: MANNOFIELD RESR,ABERDEENSHIRE,COUNTY,[1912-01-01],[2008-12-01],57.1287,-2.13796,AB1 7,DR DT DW HW MW RA ST
55844,ABERDEEN: NIGG HEAD WORKS,ABERDEENSHIRE,COUNTY,[2005-04-01],[Current],57.1319,-2.06224,AB12,
14930,ABERDEEN OBSERVATORY,ABERDEENSHIRE,COUNTY,[1882-01-01],[1947-12-31],57.1639,-2.10087,AB2 3,
14993,ABERDEEN: ROSE STREET,ABERDEENSHIRE,COUNTY,[1860-01-01],[1896-12-31],57.1459,-2.11074,AB1 1,
14991,ABERDEEN: RUBISLAW,ABERDEENSHIRE,COUNTY,[1959-01-01],[1967-12-31],57.1432,-2.13882,AB2 4,
14958,ABOYNE NO 1,ABERDEENSHIRE,COUNTY,[1937-01-01],[2004-10-01],57.0727,-2.75549,AB34 5,
150,ABOYNE NO 2,ABERDEENSHIRE,COUNTY,[1989-01-01],[Current],57.076,-2.83948,AB34 5,DR DT DW HR HW MW RA ST
14954,AITNACH,ABERDEENSHIRE,COUNTY,[1916-01-01],[1957-12-31],57.012,-2.96177,AB34 5,
14908,ALFORD,ABERDEENSHIRE,COUNTY,[1973-01-01],[1977-12-31],57.2312,-2.68915,AB33 8,
14910,ALFORD: DIKEHEAD,ABERDEENSHIRE,COUNTY,[1792-01-01],[1795-12-31],57.2196,-2.68065,AB33 8,
154,ALFORD NO 2,ABERDEENSHIRE,COUNTY,[1981-01-01],[1983-12-31],57.2402,-2.68435,AB33 8,DR DT DW HW
14909,ALFORD S WKS,ABERDEENSHIRE,COUNTY,[1977-01-01],[1982-12-31],57.2348,-2.69253,AB33 8,
14945,ALLTNAGUIBHSAICH,ABERDEENSHIRE,COUNTY,[1916-01-01],[1983-12-31],56.9574,-3.15442,AB35 5,
14858,AUCHABER,ABERDEENSHIRE,COUNTY,[1968-01-01],[1998-06-30],57.4472,-2.62488,AB54 6,
14886,AUCHNAGATT,ABERDEENSHIRE,COUNTY,[1994-01-01],[2002-09-01],57.455,-2.10834,AB41 8,
14883,AUCHTERLESS,ABERDEENSHIRE,COUNTY,[1959-01-01],[1969-12-31],57.4667,-2.47683,AB53 8,
25267,AVOCHIE,ABERDEENSHIRE,COUNTY,[1999-07-01],[Current],57.5059,-2.78034,AB54,
14849,AVOCHIE HOUSE,ABERDEENSHIRE,COUNTY,[1968-01-01],[1997-01-31],57.5065,-2.77946,AB54 5,
149,BALLATER FIELD CENTRE,ABERDEENSHIRE,COUNTY,[1988-01-01],[1999-12-01],57.0473,-3.04181,AB35 5,DR DT DW HW MW ST
30202,BALLATER: GOLF ROAD,ABERDEENSHIRE,COUNTY,[2001-01-01],[2001-06-01],57.0482,-3.04184,AB35 5,DR DT DW HW ST
14950,BALLATER IRRIGATION FARM,ABERDEENSHIRE,COUNTY,[1908-01-01],[1952-12-31],57.0546,-3.02883,AB35 5,
14951,BALLATER IRRIGATION FARM NO 2,ABERDEENSHIRE,COUNTY,[1951-01-01],[1992-12-31],57.0556,-3.02226,AB35 5,
55987,BALMEDIE S WKS,ABERDEENSHIRE,COUNTY,[2006-07-01],[Current],57.2506,-2.0451,AB23 8,
148,BALMORAL,ABERDEENSHIRE,COUNTY,[1882-01-01],[Current],57.0375,-3.21897,AB35 5,DR DT DW HR HW MW ST
14933,BEINN BHREAC: CAIRNGORMS,ABERDEENSHIRE,COUNTY,[1902-01-01],[1967-12-31],57.0528,-3.5531,AB35 5,
