GitHub Folder,Country,County,Has Concat?,Concat count,Sheet count,Start year,End year,GitHub Timestamp
ABBEY-LEIX-BLANDSFORT,Ireland/Republic of Ireland,Queen's County / Laois,Y,2,10,1870,1940,2020-07-08 14:36:05 +0100
ABBEY-ST-BATHANS,Scotland,Berwickshire,Y,1,1,1830,1839,2020-11-16 23:16:55 +0000
ABBOTSBURY-CASTLE,England,Dorset,Y,1,6,1860,1930,2020-10-03 18:14:30 +0100
ABBOTSBURY-NEW-BARN,England,Dorset,N,0,4,1890,1930,2020-10-20 13:48:46 +0100
ABBOTSKERSWELL-COURT-GRANGE,England,Devon,Y,1,5,1870,1919,2020-10-03 18:14:30 +0100
ABBOTTS-ANN-ANDOVER,England,Hampshire,Y,1,3,1840,1869,2020-10-05 17:55:20 +0100
ABER-UNIVERSITY-COLLEGE-FARM,Wales,Caernarfonshire,N,0,5,1910,1960,2020-11-16 23:16:55 +0000
ABERDARE-ABERNANT,Wales,Glamorgan,Y,1,4,1870,1909,2020-10-05 17:55:20 +0100
ABERDARE-MARDY,Wales,Glamorgan,Y,1,6,1860,1919,2020-07-08 14:36:05 +0100
ABERDARE-NANTHIR-RES,Wales,Brecknockshire,Y,2,14,1870,1960,2020-07-31 15:48:44 +0100
ABERDEEN-BANCHORY,Scotland,Kincardineshire,Y,1,4,1830,1869,2020-07-08 14:36:05 +0100
ABERDEEN-CRANFORD,Scotland,Aberdeenshire,Y,1,5,1880,1930,2020-11-16 23:16:55 +0000
ABERDEEN-GORDONS-HOSPITAL,Scotland,Aberdeenshire,Y,2,5,1830,1899,2020-12-12 22:10:26 +0000
ABERDEEN-MANNOFIELD-RES,Scotland,Aberdeenshire,Y,2,8,1890,1960,2020-11-10 17:41:42 +0000
ABERDEEN-MARISCHAL-COLLEGE,Scotland,Aberdeenshire,Y,1,4,1677,1886,2020-10-09 13:33:15 +0100
ABERDEEN-OBSERVATORY,Scotland,Aberdeenshire,Y,5,13,1820,1950,2020-07-08 14:36:05 +0100
ABERDEEN-ROSE-STREET,Scotland,Aberdeenshire,Y,1,4,1860,1899,2020-08-20 21:58:30 +0100
ABERDEEN-SKENE,Scotland,Aberdeenshire,N,0,8,1860,1879,2020-09-06 16:32:17 +0100
ABERDEEN-WALLFIELD,Scotland,Aberdeenshire,Y,1,2,1860,1879,2020-11-10 17:41:42 +0000
ABERDOVEY-PLAS-PENHELIG,Wales,Merionethshire,Y,1,5,1910,1960,2020-10-09 13:33:15 +0100
ABERFELDY-DALL-AVON,Scotland,Perthshire,Y,2,6,1900,1960,2020-08-09 14:15:40 +0100
ABERFELDY-HRS,Scotland,Perthshire,Y,1,2,1870,1889,2020-10-07 15:46:25 +0100
ABERFORD-LOTHERTON-HALL,England,Yorkshire West Riding,Y,1,6,1900,1950,2020-10-09 13:33:15 +0100
ABERFOYLE-THE-INN,Scotland,Perthshire,Y,1,8,1850,1930,2020-07-08 14:36:05 +0100
ABERGAVENNY-DRYNE-HOUSE,Wales,Monmouthshire,N,0,5,1880,1909,2020-09-06 16:32:17 +0100
ABERGAVENNY-LARCHFIELD,Wales,Monmouthshire,Y,1,10,1860,1960,2020-07-31 15:48:44 +0100
ABERGAVENNY-PLAS-DERWEN,Wales,Monmouthshire,N,0,4,1920,1960,2020-10-28 15:35:08 +0000
ABERGAVENNY-RICHMOND-ROAD,Wales,Monmouthshire,N,0,5,1910,1960,2020-10-28 15:35:08 +0000
ABERGAVENNY-THE-CHAIN,Wales,Monmouthshire,Y,1,7,1880,1950,2020-07-08 14:36:05 +0100
ABERGAVENNY-TY-CLYD,Wales,Monmouthshire,N,0,4,1920,1960,2020-10-28 15:35:08 +0000
ABERGELDIE-CASTLE,Scotland,Aberdeenshire,N,0,4,1900,1940,2020-12-12 22:10:26 +0000
ABERGELE-SEA-ROAD,Wales,Denbighshire,N,0,4,1920,1960,2020-12-12 22:10:26 +0000
ABERGORLECH-COUNCIL-SCHOOL,Wales,Carmarthenshire,N,0,4,1920,1960,2020-12-12 22:10:26 +0000
