Location,Country,County,CSV,Grid Reference,Latitude,Longitude,Elevation
ABBEY-LEIX-BLANDSFORT,Ireland/Republic of Ireland,Queen's County / Laois,ABBEY-LEIX-BLANDSFORT.csv,IS4814786802,52.930,-7.285,532
ABBEY-LEIX-BLANDSFORT,Ireland/Republic of Ireland,Queen's County / Laois,ABBEY-LEIX-BLANDSFORT-2.csv,IS4814786802,52.930,-7.285,532
ABBEY-ST-BATHANS,Scotland,Berwickshire,ABBEY-ST-BATHANS.csv,NT757622,55.852,-2.390,450
ABBOTSBURY-CASTLE,England,Dorset,ABBOTSBURY-CASTLE.csv,SY563850,50.664,-2.619,150
ABBOTSKERSWELL-COURT-GRANGE,England,Devon,ABBOTSKERSWELL-COURT-GRANGE.csv,SX855685,50.505,-3.615,150
ABBOTTS-ANN-ANDOVER,England,Hampshire,ABBOTTS-ANN-ANDOVER.csv,SU331435,51.191,-1.526,200
ABERDARE-ABERNANT,Wales,Glamorgan,ABERDARE-ABERNANT.csv,SO005027,51.715,-3.441,425
ABERDARE-MARDY,Wales,Glamorgan,ABERDARE-MARDY.csv,SO005022,51.710,-3.441,431
ABERDARE-NANTHIR-RES,Wales,Brecknockshire,ABERDARE-NANTHIR-RES.csv,SN988068,51.751,-3.467,860
ABERDARE-NANTHIR-RES,Wales,Brecknockshire,ABERDARE-NANTHIR-RES-2.csv,SN989068,51.751,-3.466,860
ABERDEEN-BANCHORY,Scotland,Kincardineshire,ABERDEEN-BANCHORY.csv,NO702954,57.049,-2.492,95
ABERDEEN-CRANFORD,Scotland,Aberdeenshire,ABERDEEN-CRANFORD.csv,NJ920042,57.129,-2.134,120
ABERDEEN-GORDONS-HOSPITAL,Scotland,Aberdeenshire,ABERDEEN-GORDONS-HOSPITAL.csv,NJ939064,57.149,-2.103,66
ABERDEEN-GORDONS-HOSPITAL,Scotland,Aberdeenshire,ABERDEEN-GORDONS-HOSPITAL-2.csv,NJ939064,57.149,-2.103,66
ABERDEEN-MANNOFIELD-RES,Scotland,Aberdeenshire,ABERDEEN-MANNOFIELD-RES.csv,NJ915042,57.129,-2.142,171
ABERDEEN-MANNOFIELD-RES,Scotland,Aberdeenshire,ABERDEEN-MANNOFIELD-RES-2.csv,NJ915042,57.129,-2.142,171
ABERDEEN-MARISCHAL-COLLEGE,Scotland,Aberdeenshire,ABERDEEN-MARISCHAL-COLLEGE.csv,NJ942064,57.149,-2.096,60
ABERDEEN-OBSERVATORY,Scotland,Aberdeenshire,ABERDEEN-OBSERVATORY.csv,NJ939081,57.164,-2.102,46
ABERDEEN-OBSERVATORY,Scotland,Aberdeenshire,ABERDEEN-OBSERVATORY-2.csv,NJ939081,57.164,-2.102,46
ABERDEEN-OBSERVATORY,Scotland,Aberdeenshire,ABERDEEN-OBSERVATORY-3.csv,NJ939081,57.164,-2.102,46
ABERDEEN-OBSERVATORY,Scotland,Aberdeenshire,ABERDEEN-OBSERVATORY-4.csv,NJ939081,57.164,-2.102,46
ABERDEEN-OBSERVATORY,Scotland,Aberdeenshire,ABERDEEN-OBSERVATORY-5.csv,NJ939081,57.164,-2.102,46
ABERDEEN-ROSE-STREET,Scotland,Aberdeenshire,ABERDEEN-ROSE-STREET.csv,NJ934058,57.144,-2.110,95
ABERDEEN-WALLFIELD,Scotland,Aberdeenshire,ABERDEEN-WALLFIELD.csv,NJ929065,57.149,-2.119,163
ABERDOVEY-PLAS-PENHELIG,Wales,Merionethshire,ABERDOVEY-PLAS-PENHELIG.csv,SN621963,52.547,-4.034,140
ABERFELDY-DALL-AVON,Scotland,Perthshire,ABERFELDY-DALL-AVON.csv,NN853490,56.619,-3.871,320
ABERFELDY-DALL-AVON,Scotland,Perthshire,ABERFELDY-DALL-AVON-2.csv,NN852492,56.621,-3.872,320
ABERFELDY-HRS,Scotland,Perthshire,ABERFELDY-HRS.csv,NN858491,56.620,-3.862,300
ABERFORD-LOTHERTON-HALL,England,Yorkshire West Riding,ABERFORD-LOTHERTON-HALL.csv,SE449360,53.818,-1.318,208
ABERFOYLE-THE-INN,Scotland,Perthshire,ABERFOYLE-THE-INN.csv,NN520010,56.179,-4.386,60
ABERGAVENNY-LARCHFIELD,Wales,Monmouthshire,ABERGAVENNY-LARCHFIELD.csv,SO305143,51.823,-3.010,240
ABERGAVENNY-THE-CHAIN,Wales,Monmouthshire,ABERGAVENNY-THE-CHAIN.csv,SO291154,51.833,-3.030,310
ABERGELDIE-CASTLE,Scotland,Aberdeenshire,ABERGELDIE-CASTLE.csv,NO287952,57.042,-3.177,850
ABERGELE-SEA-ROAD,Wales,Denbighshire,ABERGELE-SEA-ROAD.csv,SH942778,53.287,-3.589,35
ABERGORLECH-COUNCIL-SCHOOL,Wales,Carmarthenshire,ABERGORLECH-COUNCIL-SCHOOL.csv,SN585336,51.983,-4.062,245
ABERGWESYN-NANTNEUADD,Wales,Cardiganshire,ABERGWESYN-NANTNEUADD.csv,SN799525,52.158,-3.757,1290
ABERLADY-MIX,Scotland,East Lothian (Haddington),ABERLADY-MIX.csv,NT461798,56.008,-2.866,15
ABERLADY-MIX,Scotland,East Lothian (Haddington),ABERLADY-MIX-2.csv,NT462798,56.008,-2.864,40
ABERLOUR-MIX,Scotland,Banffshire,ABERLOUR-MIX.csv,NJ271430,57.471,-3.217,300
ABERLOUR-MIX,Scotland,Banffshire,ABERLOUR-MIX-2.csv,NJ271430,57.471,-3.217,320
ABERNETHY-MIX,Scotland,Perthshire,ABERNETHY-MIX.csv,NO167153,56.323,-3.348,120
ABERNETHY-MIX,Scotland,Perthshire,ABERNETHY-MIX-2.csv,NO167153,56.323,-3.348,120
ABERNETHY-MIX,Scotland,Perthshire,ABERNETHY-MIX-3.csv,NO164151,56.321,-3.352,120
ABERPORTH,Wales,Cardiganshire,ABERPORTH.csv,SN247516,52.135,-4.563,376
ABERYSTWYTH-CASTLE-GROUNDS,Wales,Cardiganshire,ABERYSTWYTH-CASTLE-GROUNDS.csv,SN579815,52.413,-4.091,59
ABERYSTWYTH-CORPORATION-YARD,Wales,Cardiganshire,ABERYSTWYTH-CORPORATION-YARD.csv,SN580815,52.413,-4.089,12
ABERYSTWYTH-GOGERDDAN,Wales,Cardiganshire,ABERYSTWYTH-GOGERDDAN.csv,SN629836,52.433,-4.018,80
ABERYSTWYTH-NORTH-PARADE,Wales,Cardiganshire,ABERYSTWYTH-NORTH-PARADE.csv,SN585818,52.416,-4.082,20
ABERYSTWYTH-PLANT-BREEDING-STATION,Wales,Cardiganshire,ABERYSTWYTH-PLANT-BREEDING-STATION.csv,SN605825,52.423,-4.053,452
ABINGDON-CALDECOTT-HOUSE,England,Berkshire,ABINGDON-CALDECOTT-HOUSE.csv,SU493966,51.666,-1.289,177
ABINGDON-CULHAM,England,Oxfordshire,ABINGDON-CULHAM.csv,SU505951,51.652,-1.271,200
ABINGDON-FRILFORD-HEATH,England,Berkshire,ABINGDON-FRILFORD-HEATH.csv,SU447983,51.682,-1.355,240
ABINGDON-NUNEHAM-PARK,England,Oxfordshire,ABINGDON-NUNEHAM-PARK.csv,SU547983,51.681,-1.210,280
ABINGDON-SEWAGE-WORKS,England,Berkshire,ABINGDON-SEWAGE-WORKS.csv,SU496959,51.660,-1.284,170
ABINGDON-THE-FIRS,England,Berkshire,ABINGDON-THE-FIRS.csv,SU487971,51.671,-1.297,180
ABINGDON-UNION,England,Berkshire,ABINGDON-UNION.csv,SU500976,51.675,-1.278,196
ABINGTON-PIGOTTS-ROYSTON,England,Cambridgeshire,ABINGTON-PIGOTTS-ROYSTON.csv,TL304444,52.083,-0.098,98
ACHNAHARD,Scotland,Perthshire,ACHNAHARD.csv,NN527092,56.252,-4.379,474
