MS&LR Gauge,PDF file,PDF Page number,Transcribed Location
Ashton Waterhouses,TYRain_1850-1859_F_pt1.pdf,126,WATERHOUSE OLDHAM
Barnetby,TYRain_1850-1859_F_pt1.pdf,66,BARNETBY
Bollington Sponds Hill,TYRain_1850-1859_F_pt1.pdf,93,BOLLINGTON SPONDS HILL
Bosley Minns,TYRain_1850-1859_F_pt1.pdf,111,BOSLEY MINNS
Bosley Reservoir,TYRain_1850-1859_F_pt1.pdf,110,BOSLEY RESERVOIR
Brigg,TYRain_1850-1859_F_pt1.pdf,64,BRIGG
Chapel-en-le-Frith,TYRain_1850-1859_F_pt1.pdf,83,CHAPEL EN LE FRITH
Chesterfield,TYRain_1850-1859_F_pt1.pdf,88,CHESTERFIELD
Combs House,TYRain_1850-1859_F_pt1.pdf,81,COMBS HOUSE
Combs Moss,TYRain_1850-1859_F_pt1.pdf,80,COMBS RIDGE = COMBS RIDGE
Combs Reservoir,TYRain_1850-1859_F_pt1.pdf,82,COMBS RESERVOIR
Dunford Bridge Station,TYRain_1850-1859_F_pt1.pdf,162,DUNFORD BRIDGE
Gainsborough,TYRain_1850-1859_F_pt1.pdf,71,GAINSBRO
Grimsby,TYRain_1850-1859_F_pt1.pdf,65,GRIMSBY
Killamarsh Norwood,TYRain_1850-1859_F_pt1.pdf,89,NORWOOD
Lincoln,TYRain_1850-1859_F_pt1.pdf,62,LINCOLN
Macclesfield,TYRain_1850-1859_F_pt1.pdf,91,MACCLESFIELD
Manchester Fairfield,TYRain_1850-1859_F_pt1.pdf,123,FAIRFIELD
Manchester Piccadilly,TYRain_1850-1859_F_pt1.pdf,122,MANCHESTER (PICCADILLY)
Market Rasen,TYRain_1850-1859_F_pt1.pdf,63,MARKET RASEN
Marple Aqueduct,TYRain_1850-1859_F_pt1.pdf,97,MARPLE AQUEDUCT
Marple Top Lock,TYRain_1850-1859_F_pt1.pdf,96,MARPLE TOP LOCK HOUSE
Mottram Station,TYRain_1850-1859_F_pt1.pdf,102,MOTTRAM (MATLEY'S FIELD)
New Holland,TYRain_1850-1859_F_pt1.pdf,69,NEW HOLLAND
Newton,TYRain_1850-1859_F_pt1.pdf,101,NEWTON
Penistone,TYRain_1850-1859_F_pt1.pdf,164,PENISTONE
Retford,TYRain_1850-1859_F_pt1.pdf,78,RETFORD
Sheffield Victoria Station,TYRain_1850-1859_F_pt1.pdf,159,SHEFFIELD (STATION)
Stockwith,TYRain_1850-1859_F_pt1.pdf,72,STOCKWITH
Whaley Bridge,TYRain_1850-1859_F_pt1.pdf,94,WHALEY (TODDS BROOK RESERVOIR)
Woodhead Station,TYRain_1850-1859_F_pt1.pdf,85,WOODHEAD
Worksop,TYRain_1850-1859_F_pt1.pdf,77,WORKSOP
