MS&LR Gauge,PDF file,PDF Page number,Transcribed Location
Ashton Waterhouses,TYRain_1860-1869_04_pt3,27,WATERHOUSES
Ashton Waterhouses,TYRain_1870-1879_07_pt4,36,OLDHAM WATERHOUSES
Ashton Waterhouses,TYRain_1880-1889_09_pt1,186,ASHTON WATERHOUSES
Ashton Waterhouses,TYRain_1890-1899_15_pt1,230,ASHTON WATERHOUSES
Ashton Waterhouses,TYRain_1900-1909_19_pt1,88,ASHTON WATERHOUSES
Ashton Waterhouses,TYRain_1910-1919_18_pt1,75,ASHTON-UNDER-LYNE WATERHOUSES
Ashton Waterhouses,TYRain_1920-1930_20_pt1,77,ASHTON-UNDER-LYME WATERHOUSES
Barnetby,TYRain_1860-1869_04_pt1,58,BARNETBY M.S. & L.R.
Barnetby,TYRain_1870-1879_06_pt3,67,BRIGG BARNETBY
Barnetby,TYRain_1880-1889_08_pt1,80,BARNETBY
Barnetby,TYRain_1890-1899_13_pt1,206,BARNETBY
Barnetby,TYRain_1900-1909_17_pt1,140,BARNETBY
Barnetby,TYRain_1910-1919_16_pt1,110,BARNETBY
Barnetby,TYRain_1920-1930_17_pt1,98,BARNETBY
Barnsley,TYRain_1860-1869_05_pt1,31,BARNESLEY
Barnsley,TYRain_1870-1879_08_pt1,52,BARNSLEY
Barnsley,TYRain_1880-1889_10_pt1,89,BARNSLEY
Barnsley,TYRain_1890-1899_17_pt1,25,BARNSLEY
Barnsley,TYRain_1900-1909_20_pt1,104,BARNSLEY STATION (GCR)
Barnsley,TYRain_1910-1919_19_pt1,162,BARNSLEY
Barnsley,TYRain_1920-1930_22_pt1,21,BARNSLEY
Bollington Sponds Hill,TYRain_1860-1869_04_pt2,4,SPONDS HILL NR BOLLINGTON
Bollington Sponds Hill,TYRain_1870-1879_07_pt3,4,BOLLINGTON SPONDS HILL
Bollington Sponds Hill,TYRain_1880-1889_08_pt4,5,"BOLLINGTON, SPOND'S HILL"
Bollington Sponds Hill,TYRain_1890-1899_14_pt1,164,BOLLINGTON SPONDS HILL
Bollington Sponds Hill,TYRain_1900-1909_18_pt1,247,BOLLINGTON SPONDS HILL
Bollington Sponds Hill,TYRain_1910-1919_17_pt1,95,BOLLINGTON SPONDS HILL
Bollington Sponds Hill,TYRain_1920-1930_19_pt1,20,BOLLINGTON SPONDS HILL
Bosley Minns,TYRain_1860-1869_04_pt2,34,BOSLEY MINNS
Bosley Minns,TYRain_1870-1879_07_pt3,42,CONGLETON BOSLEY MINNS
Bosley Minns,TYRain_1880-1889_08_pt4,58,BOSLEY MINNS
Bosley Minns,TYRain_1890-1899_14_pt1,214,BOSLEY MINNS
Bosley Minns,TYRain_1900-1909_18_pt1,194,BOSLEY MINNS
Bosley Minns,TYRain_1910-1919_17_pt1,148,BOSLEY MINNS
Bosley Minns,TYRain_1920-1930_19_pt1,44,BOSLEY MINNS
