Site instance,Site name,Tree,Country,County,Other info,Grid reference,Map link,Longitude,Latitude,Elevation (ft),Station No.,Normal Month Values,-999 Month Values,Totals,Start Month,End Month,Active Years,% Complete,% Active Complete,Min Monthly Value,Min Month Date,Max Monthly Value,Max Month Date,Min Total,Min Total Year,Max Total,Max Total Year,Avg Total,10th pctile Total,50th pctile Total,90th pctile Total,Decades Graphic,Yearly Graphic,1800-1809,1810-1819,1820-1829,1830-1839,1840-1849,1850-1859,1860-1869,1870-1879,1880-1889,1890-1899,1900-1909,1910-1919,1920-1930,1931-1940,1941-1950,1951-1960,Sheet 1,Sheet 2,Sheet 3,Sheet 4
11-OFFORD-ROAD-LONDON,11-OFFORD-ROAD-LONDON,LEFTOVER,England,Middlesex,1 sheet,-,,,,,,36,0,3,1864/01,1866/12,3,100.0,100.0,0.45,1865/04,6.29,1865/10,17.47,1864,30.71,1866,25.9,19.9,29.5,30.5,[.|......*...|......],[###],-,-,-,-,-,-,[....###...],-,-,-,-,-,-,-,-,-,TYRain_1860-1869_01_pt1-060,-,-,-
7-COMPTON-TERRACE-ISLINGTON-LONDON,7-COMPTON-TERRACE-ISLINGTON-LONDON,LEFTOVER,England,Middlesex,2 sheets : NGR is 7 Compton Terrace. Altitudes match,TQ 316844,"https://maps.nls.uk/geo/explore/#zoom=16&lat=51.543&lon=-0.104&layers=6&b=1&marker=51.543,-0.104",-0.104,51.543,122,,91,0,7,1867/06,1874/12,8,100.0,94.8,0.4,1870/04,5.53,1871/09,18.79,1874,32.28,1872,23.7,19.6,22.8,28.1,[.|......**..|......],[7#######],-,-,-,-,-,-,[.......7##],[#####.....],-,-,-,-,-,-,-,-,TYRain_1860-1869_01_pt1-062,TYRain_1870-1879_01_pt1-037,-,-
8-BRYANSTON-SQUARE-LONDON,8-BRYANSTON-SQUARE-LONDON,LEFTOVER,England,Middlesex,2 sheets : NGR is 8 Bryanstone Sq. Altitudes match,TQ 277814,"https://maps.nls.uk/geo/explore/#zoom=16&lat=51.517&lon=-0.161&layers=6&b=1&marker=51.517,-0.161",-0.161,51.517,93,,93,0,7,1858/04,1865/12,8,100.0,96.9,0.35,1861/01,5.82,1865/10,17.79,1864,28.48,1865,24.3,18.7,27.3,28.4,[.|.....**...|......],[9#######],-,-,-,-,-,[........9#],[######....],-,-,-,-,-,-,-,-,-,TYRain_1850-1859_G_pt1-020,TYRain_1860-1869_01_pt1-026,-,-
92-DORA-ROAD-WIMBLEDON-PARK,92-DORA-ROAD-WIMBLEDON-PARK,LEFTOVER,England,Surrey,1 sheet,-,,,,,,36,0,3,1917/01,1919/12,3,100.0,100.0,0.08,1919/05,6.95,1918/07,23.1,1919,28.93,1918,26.1,23.8,26.4,28.4,[.|..........|.*....],[###],-,-,-,-,-,-,-,-,-,-,-,[.......###],-,-,-,-,TYRain_1910-1919_2A_pt1-089,-,-,-
ABBEY-LEIX-THE-VICARAGE-PEMBROKE-TERRACE,ABBEY-LEIX-THE-VICARAGE-PEMBROKE-TERRACE,LEFTOVER,Ireland/Republic of Ireland,Queen's County / Laois,1 sheet : observer Rev G Nuttall Smith : Not researched,-,,,,342,,22,1,2,1897/01,1898/12,2,91.7,91.7,0.65,1898/03,6.17,1898/08,33.47,1898,39.7,1897,36.6,34.1,36.6,39.1,[.|.........*|......],[##],-,-,-,-,-,-,-,-,-,[.......##.],-,-,-,-,-,-,TYRain_1890-1899_27_pt1-118,-,-,-
ABBEY-ST-BATHANS-OAKBANK,ABBEY-ST-BATHANS-OAKBANK,LEFTOVER,Scotland,Berwickshire,1 sheet : 490' No data,NT 752625,"https://maps.nls.uk/geo/explore/#zoom=16&lat=55.855&lon=-2.398&layers=6&b=1&marker=55.855,-2.398",-2.398,55.855,490,,0,0,0,,,0,0.0,0.0,,,,,,,,,,,,,[.|..........|......],,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TYRain_1951-1960_25_pt1-266,-,-,-
ABBOTSBURY,ABBOTSBURY,LEFTOVER,England,Huntingdonshire,1 sheet : observer Ratton-/-Henagulph,TL 228565,"https://maps.nls.uk/geo/explore/#zoom=16&lat=52.193&lon=-0.205&layers=6&b=1&marker=52.193,-0.205",-0.205,52.193,100,,34,0,2,1923/01,1925/12,3,94.4,94.4,0.1,1925/06,4.73,1924/05,21.21,1925,24.05,1923,22.6,21.5,22.6,23.8,[.|..........|..*...],[###],-,-,-,-,-,-,-,-,-,-,-,-,[...###.....],-,-,-,TYRain_1920-1930_08_pt1-003,-,-,-
ABBOTSBURY-COTONEASTER,ABBOTSBURY-COTONEASTER,LEFTOVER,England,Dorset,1 sheet,SY 577852,"https://maps.nls.uk/geo/explore/#zoom=16&lat=50.665&lon=-2.6&layers=10&b=1&marker=50.665,-2.6",-2.600,50.665,,[1565/1],76,0,5,1931/05,1937/08,7,100.0,90.5,0.02,1932/02,9.6,1934/12,22.46,1933,37.58,1935,29.8,24.7,29.6,35.1,[.|..........|...*..],[8#####8],-,-,-,-,-,-,-,-,-,-,-,-,-,[8#####8...],-,-,TYRain_1931-1940_10_pt1-104,-,-,-
ABBOTSBURY-MARKET-STREET,ABBOTSBURY-MARKET-STREET,LEFTOVER,England,Dorset,1 sheet,-,,,,,,36,0,3,1915/01,1917/12,3,100.0,100.0,0.56,1916/04,8.89,1915/12,25.46,1917,40.28,1915,35.2,28.3,39.8,40.2,[.|..........|.*....],[###],-,-,-,-,-,-,-,-,-,-,-,[.....###..],-,-,-,-,TYRain_1910-1919_11_pt1-035,-,-,-
ABBOTSHAM-HIGH-PARK,ABBOTSHAM-HIGH-PARK,LEFTOVER,England,Devon,2 sheets : observer Gilbert Sheldon : bideford crossed out – ch 1m N,SS 423250,"https://maps.nls.uk/geo/explore/#zoom=16&lat=51.003&lon=-4.249&layers=6&b=1&marker=51.003,-4.249",-4.249,51.003,300,,68,0,5,1909/01,1914/08,6,100.0,94.4,0.11,1912/04,9.0,1912/08,37.08,1909,50.88,1912,43.5,38.2,42.0,49.5,[.|..........|**....],[#####8],-,-,-,-,-,-,-,-,-,-,[.........#],[####8.....],-,-,-,-,TYRain_1900-1909_12_pt1-133,TYRain_1910-1919_12_pt1-148,-,-
