Volume,Page,Sheet Type,Decade,Country,County,Subdivision,GitHub?,GitHub Location,Transcribed Location,Year count,Start Year,Summary,Readings,100s+999s,% Complete,First Reading,Last Reading,Totals count,Totals 100s+999s,Avg Total,CSV Issues,GitHub Tree,Has Station No. ?,Station No.,Station No. Sorter,Site Name,NGR,Latitude,Longitude,Elevation (ft),Stn no.,Observer,Comments
TYRain_1677-1886_A_pt1,31,Rainfall,17x0s,England,Surrey,Surrey-became-London,N,-,CAMBERWELL,10,1780,[..###9....] Dup,45,0,37.5,1782/01,1785/09,3,0,26.2,Duplication,-,,,,CAMBERWELL,,,,,,,
TYRain_1677-1886_A_pt1,57,Rainfall,17x0s,England,Hampshire,-,N,-,ODIHAM HAMPSHIRE,10,1780,[......2###],37,0,30.8,1786/11,1789/12,3,0,31.3,,-,,,,HAMPSHIRE-ODIHAM,,,,,,,unknown location
TYRain_1677-1886_A_pt1,59,Rainfall,17x0s,England,Hampshire,-,N,-,Selbourn Hampshire,10,1780,[..########] Dup,96,0,80.0,1782/01,1789/12,8,0,36.2,Duplication,-,,,,SELBOURN-HAMPSHIRE,,,,,,,Only 1786 has unique data but different observer although taken from books - Name Thomas Barker may be incorrect Data as in Royal Society publication which might account for difference in Feb 1786 This value makes the total incorrect and is unlikely to be correct
TYRain_1677-1886_A_pt1,64,Rainfall,17x0s,England,Hampshire,-,N,-,ANDOVER,10,1780,[.....3####] Dup,51,0,42.5,1785/10,1789/12,4,0,24.3,Duplication,-,,,,ANDOVER,,,,,,,Largely new data - Unlikely to be Fyfield as different observer and quite different values - Some values for 1786 and 1787 should be S Lambeth 1788 and 1789 OK - 1787 Apr onwards different but not found in Royal Sciety publication
TYRain_1677-1886_A_pt1,121,Rainfall,1800s,England,Devon,Devon South,N,-,PLYMOUTH HOSPITAL,10,1800,[#.........],12,0,10.0,1800/01,1800/12,1,0,35.5,,-,,,,PLYMOUTH-HOSPITAL,,,,,,,
TYRain_1677-1886_A_pt1,122,Rainfall,1800s,England,Devon,Devon South,N,-,EXETER,10,1800,[#.........],12,0,10.0,1800/01,1800/12,1,0,24.6,,-,,,,EXETER-1800,,,,,,,
TYRain_1677-1886_A_pt1,123,Rainfall,1820s,England,Devon,Devon South,N,-,EXETER,10,1820,[....##....] Dup,23,0,19.2,1824/01,1825/12,2,0,32.1,Duplication,-,,,,EXETER-1824,,,,,,,
TYRain_1677-1886_A_pt1,131,Rainfall,17x0s,England,Somerset,-,N,-,MINEHEAD SOMERSETSHIRE,10,1780,[..#.#...#.] Dup,36,0,30.0,1782/01,1788/12,3,0,23.1,Duplication,-,,,,MINEHEAD-SOMERSETSHIRE,,,,,,,Duplication
TYRain_1677-1886_A_pt1,132,Rainfall,17x0s,England,Somerset,-,N,-,Bridgewater,10,1760,[.......###],35,1,29.2,1767/01,1769/12,3,0,29.3,,-,,,,BRIDGWATER,,,,,,,
TYRain_1677-1886_A_pt1,133,Rainfall,17x0s,England,Somerset,-,N,-,MINE HEAD SOMERSET,10,1780,[..#.......] Dup,12,0,10.0,1782/01,1782/12,1,0,31.3,Duplication,-,,,,MINEHEAD-SOMERSET,,,,,,,Duplication
TYRain_1677-1886_A_pt1,156,Rainfall,17x0s,England,Nottinghamshire,-,N,-,LANGAR,10,1790,[....T.#...],12,0,10.0,1796/01,1796/12,2,0,24.4,,-,,,,LANGAR,SK 724346,52.904,-0.925,,,,
TYRain_1677-1886_A_pt1,194,Rainfall,17x0s,England,Lancashire,-,N,-,HOLME Nr MANCHESTER,10,1760,[.....#####],60,0,50.0,1765/01,1769/12,5,0,31.9,,-,,,,HOLME-NR-MANCHESTER,SJ 825972,53.471,-2.265,,,,"George Lloyd. 1765-1769 archive Jisc has rainfall 1778-1781. Gordon Manley thinks readings at Hulme about 1 mmile from centre of Manchester; ?suggested Charters Hall as actual site. George Loyd owned Hulme Hall at this time, Hall demolished 1840 to make way fro Duek of B's canal, bridge over this is Hulme Hall Bridge 1:500 town plans"
TYRain_1677-1886_A_pt1,217,Rainfall,17x0s,England,Westmorland,-,N,-,KENDAL (GOUGH),10,1790,[#####.....] Dup,60,0,50.0,1790/01,1794/12,5,0,66.5,Duplication,-,,,,KENDAL-GOUGH-DUPLICATE-DATA,,,,,,,DUPLICATE
TYRain_1677-1886_B_pt1,16,Rainfall,17x0s,England,Yorkshire East Riding,-,N,-,KINGSTON UPON HULL,10,1790,[......#...],12,0,10.0,1796/01,1796/12,1,0,23.0,,-,,,,HULL-VAGUE,TA 099286,53.742,-0.335,,,,
TYRain_1677-1886_B_pt1,38,Rainfall,1880s,England,Westmorland,-,N,-,LINGMOOR LANGDALE,10,1880,[...##.....] Dup,24,0,20.0,1883/01,1884/12,2,0,106.0,Duplication,-,,,,LANGDALE-LINGMOOR,NY 303046,54.432,-3.076,1500,,,1883-4 believe the gauge was not far from the top of the fell about 1500'
TYRain_1677-1886_B_pt1,72,Rainfall,17x0s,Scotland,Dumfriesshire,-,N,-,KIRKMICHAEL NR DUMFRIES,10,1770,[....#.....],11,12,9.2,1774/02,1774/12,1,1,41.8,,-,,,,KIRKMICHAEL-NR-DUMFRIES-EXTRA-MEAN,,,,,,,"This is in GitHub as a special case (under the EXTRA-MEAN folder of KIRKMICHAEL-NR-DUMFRIES), as its not a normal rainfall record. The sheet is a 4 year record with monthly means of those 4 years."
TYRain_1677-1886_B_pt1,81,Rainfall,17x0s,Scotland,Berwickshire,-,N,-,SMAILHOLM MERTOUN,10,1780,[#5........],17,0,14.2,1780/01,1781/06,1,0,22.7,,-,,,,SMAILHOLM-MERTOUN,NT 652365,55.621,-2.554,,,,extracted from MO records at Greenwich no other info; NGR/elevation for Smailholm House - very small village
